##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 2   (Re = 1400, DNS) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 1.239651348E-02 1.824997071E-06 1.818697274E-05 3.900328671E-10 9.440776161E-09 1.498209895E-05
 3.027219296E+00 5.951224640E-02 1.039358394E-04 4.050189164E-04 2.665512113E-07 2.910130888E-06 3.180940694E-04
 3.021030426E+00 1.052474454E-01 3.246302658E-04 1.269246917E-03 2.421032377E-06 1.762719148E-05 9.585338412E-04
 3.014841557E+00 1.495109648E-01 6.479546428E-04 2.559570596E-03 8.841725503E-06 5.277769742E-05 1.868808991E-03
 3.008652925E+00 1.922830790E-01 1.059291186E-03 4.209008534E-03 2.164143189E-05 1.142222245E-04 2.987399464E-03
 3.002464056E+00 2.334674597E-01 1.545033301E-03 6.134651136E-03 4.233308209E-05 2.044985740E-04 4.254028201E-03
 2.996275425E+00 2.727710903E-01 2.099227859E-03 8.256920613E-03 7.314539107E-05 3.266382264E-04 5.615087226E-03
 2.990086555E+00 3.103601635E-01 2.701182384E-03 1.045539230E-02 1.132072430E-04 4.732650996E-04 7.003245410E-03
 2.983897924E+00 3.459556997E-01 3.346272046E-03 1.265030261E-02 1.638573885E-04 6.426006439E-04 8.372857235E-03
 2.977709055E+00 3.797056377E-01 4.018803593E-03 1.477350108E-02 2.234192507E-04 8.261491894E-04 9.689531289E-03
 2.971520424E+00 4.114134908E-01 4.715329967E-03 1.676376536E-02 2.929460607E-04 1.020450960E-03 1.092046406E-02
 2.965331554E+00 4.413721859E-01 5.423653405E-03 1.860783435E-02 3.700680682E-04 1.218476333E-03 1.206230279E-02
 2.959142923E+00 4.694935977E-01 6.139830220E-03 2.027739026E-02 4.548435390E-04 1.416472252E-03 1.310062967E-02
 2.952954054E+00 4.958510101E-01 6.856865715E-03 2.176202461E-02 5.463277339E-04 1.610293752E-03 1.403182838E-02
 2.946765423E+00 5.206583738E-01 7.569734938E-03 2.307859436E-02 6.429703208E-04 1.797438134E-03 1.486675069E-02
 2.940576553E+00 5.440329909E-01 8.276558481E-03 2.423536964E-02 7.441178896E-04 1.976347063E-03 1.561090816E-02
 2.934387922E+00 5.659321547E-01 8.972061798E-03 2.522721887E-02 8.490094915E-04 2.144421451E-03 1.626196690E-02
 2.928199053E+00 5.865215659E-01 9.654724039E-03 2.607049607E-02 9.568484384E-04 2.301059198E-03 1.682974398E-02
 2.922010422E+00 6.059468389E-01 1.032274310E-02 2.678413875E-02 1.066548983E-03 2.446102677E-03 1.732499897E-02
 2.915821552E+00 6.243050098E-01 1.097521465E-02 2.737948857E-02 1.177535742E-03 2.579430118E-03 1.775428280E-02
 2.909632683E+00 6.416679025E-01 1.161107980E-02 2.786093019E-02 1.288760919E-03 2.701146295E-03 1.811911538E-02
 2.903444052E+00 6.581363678E-01 1.223014947E-02 2.825034969E-02 1.400003675E-03 2.811490791E-03 1.843296178E-02
 2.897255182E+00 6.737253070E-01 1.283158455E-02 2.854958363E-02 1.511021284E-03 2.909659175E-03 1.869725063E-02
 2.891066551E+00 6.885190606E-01 1.341477409E-02 2.876824141E-02 1.620990224E-03 2.996525494E-03 1.891656779E-02
 2.884877682E+00 7.026139498E-01 1.398111973E-02 2.891812846E-02 1.729649841E-03 3.073072759E-03 1.909747720E-02
 2.878689051E+00 7.160578966E-01 1.452982891E-02 2.900563553E-02 1.836579409E-03 3.139553126E-03 1.924347319E-02
 2.872500181E+00 7.288811803E-01 1.506089792E-02 2.903644368E-02 1.941479975E-03 3.196273232E-03 1.935760118E-02
 2.866311550E+00 7.411327362E-01 1.557501685E-02 2.901600674E-02 2.044171561E-03 3.243600484E-03 1.944287308E-02
 2.860122681E+00 7.528312206E-01 1.607154496E-02 2.894958481E-02 2.144349273E-03 3.281856421E-03 1.950200088E-02
 2.853934050E+00 7.640380263E-01 1.655203477E-02 2.884132788E-02 2.242068760E-03 3.311443608E-03 1.953742467E-02
 2.847745180E+00 7.747520804E-01 1.701523736E-02 2.869576588E-02 2.337006852E-03 3.332706168E-03 1.955131069E-02
 2.841556549E+00 7.850225568E-01 1.746289060E-02 2.851605229E-02 2.429201966E-03 3.345947480E-03 1.954548247E-02
 2.835367680E+00 7.948747873E-01 1.789500751E-02 2.830590680E-02 2.518666210E-03 3.351623192E-03 1.952186413E-02
 2.829179049E+00 8.043289185E-01 1.831199415E-02 2.806830592E-02 2.605359303E-03 3.350082785E-03 1.948196068E-02
 2.822990179E+00 8.134173751E-01 1.871571317E-02 2.780623734E-02 2.689485671E-03 3.341880394E-03 1.942733303E-02
 2.816801548E+00 8.221610188E-01 1.910617948E-02 2.752226777E-02 2.771033673E-03 3.327367827E-03 1.935924217E-02
 2.810612679E+00 8.305795789E-01 1.948346011E-02 2.721891738E-02 2.850050107E-03 3.306950442E-03 1.927890815E-02
 2.804423809E+00 8.386944532E-01 1.984695718E-02 2.689847909E-02 2.926645102E-03 3.281070618E-03 1.918748207E-02
 2.798235178E+00 8.464592695E-01 2.019603364E-02 2.655952238E-02 3.000492696E-03 3.248841269E-03 1.908363774E-02
 2.792046309E+00 8.539341688E-01 2.053480409E-02 2.620848827E-02 3.072110238E-03 3.211805364E-03 1.897093095E-02
 2.785857677E+00 8.611543179E-01 2.086344548E-02 2.584835514E-02 3.141679335E-03 3.170640673E-03 1.885109767E-02
 2.779668808E+00 8.681383133E-01 2.118165791E-02 2.548053302E-02 3.209318034E-03 3.125658724E-03 1.872496866E-02
 2.773480177E+00 8.748278618E-01 2.148577571E-02 2.510438114E-02 3.274602117E-03 3.075889312E-03 1.859149337E-02
 2.767291307E+00 8.812560439E-01 2.178146318E-02 2.472559921E-02 3.337936942E-03 3.022603225E-03 1.845383272E-02
 2.761102676E+00 8.874909282E-01 2.206865884E-02 2.434516884E-02 3.399790497E-03 2.966612577E-03 1.831314899E-02
 2.754913807E+00 8.934995532E-01 2.234541997E-02 2.396375686E-02 3.459929023E-03 2.907519229E-03 1.816933975E-02
 2.748725176E+00 8.992206454E-01 2.261204273E-02 2.358779125E-02 3.518394660E-03 2.844897565E-03 1.802546158E-02
 2.742536306E+00 9.047931433E-01 2.286633849E-02 2.321418375E-02 3.576022573E-03 2.780345967E-03 1.788109355E-02
 2.736347675E+00 9.101264477E-01 2.311166003E-02 2.284538373E-02 3.632340115E-03 2.713204594E-03 1.773636229E-02
 2.730158806E+00 9.152428508E-01 2.334932797E-02 2.248162031E-02 3.687497694E-03 2.643773332E-03 1.759162918E-02
 2.723970175E+00 9.202113748E-01 2.358294092E-02 2.212219685E-02 3.741905792E-03 2.572823083E-03 1.744741574E-02
 2.717781305E+00 9.249088168E-01 2.380552888E-02 2.176996320E-02 3.795282915E-03 2.499623690E-03 1.730392873E-02
 2.711592674E+00 9.295043945E-01 2.402574196E-02 2.142170817E-02 3.848327557E-03 2.425657120E-03 1.716142707E-02
 2.705403805E+00 9.338384867E-01 2.423617989E-02 2.108113840E-02 3.900495125E-03 2.349357586E-03 1.702048443E-02
 2.699215174E+00 9.380511045E-01 2.444521897E-02 2.074611746E-02 3.952332307E-03 2.272096230E-03 1.688132994E-02
 2.693026304E+00 9.420899749E-01 2.464603074E-02 2.041695826E-02 4.003762733E-03 2.193840686E-03 1.674377173E-02
 2.686837435E+00 9.459171891E-01 2.484252304E-02 2.009799890E-02 4.054831807E-03 2.114560921E-03 1.660975069E-02
 2.680648804E+00 9.497375488E-01 2.503702603E-02 1.977856830E-02 4.105847329E-03 2.035217592E-03 1.647545025E-02
