##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 2   (Re = 1400, DNS) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 1.513979863E-02 -2.116632459E-06 1.921815601E-05 4.060321523E-10 7.223608822E-09 1.372209044E-05
 3.027219296E+00 7.383254170E-02 -8.633791003E-05 4.186179140E-04 1.534041729E-07 1.732907094E-06 2.876819053E-04
 3.021030426E+00 1.323046833E-01 -2.700834011E-04 1.335639972E-03 1.388197916E-06 1.112851260E-05 8.896657964E-04
 3.014841557E+00 1.905512959E-01 -5.432885373E-04 2.741817152E-03 5.054749181E-06 3.505181667E-05 1.779845916E-03
 3.008652925E+00 2.482479215E-01 -8.949887124E-04 4.581229761E-03 1.234349020E-05 7.931473374E-05 2.913374919E-03
 3.002464056E+00 3.050286472E-01 -1.313218847E-03 6.764210295E-03 2.406984459E-05 1.473418961E-04 4.234258551E-03
 2.996275425E+00 3.604630232E-01 -1.790427486E-03 9.192901663E-03 4.125318446E-05 2.425328712E-04 5.686993245E-03
 2.990086555E+00 4.142082930E-01 -2.314038808E-03 1.171702147E-02 6.416976976E-05 3.626469988E-04 7.191107143E-03
 2.983897924E+00 4.660084248E-01 -2.871746663E-03 1.420856453E-02 9.296733333E-05 5.040823598E-04 8.679884486E-03
 2.977709055E+00 5.153021216E-01 -3.455245867E-03 1.653337665E-02 1.281743462E-04 6.623922382E-04 1.008348539E-02
 2.971520424E+00 5.621163249E-01 -4.052726086E-03 1.861567609E-02 1.695796382E-04 8.311934653E-04 1.136327256E-02
 2.965331554E+00 6.061516404E-01 -4.656358156E-03 2.039358392E-02 2.171335364E-04 1.004052232E-03 1.248630881E-02
 2.959142923E+00 6.471460462E-01 -5.256889854E-03 2.181307971E-02 2.714576840E-04 1.175469253E-03 1.342451014E-02
 2.952954054E+00 6.854340434E-01 -5.848756526E-03 2.291518636E-02 3.317608789E-04 1.340944204E-03 1.419813000E-02
 2.946765423E+00 7.209006548E-01 -6.427483633E-03 2.370750718E-02 3.979571338E-04 1.496422803E-03 1.480950788E-02
 2.940576553E+00 7.533490658E-01 -6.986234803E-03 2.418440767E-02 4.709938657E-04 1.637727837E-03 1.525469311E-02
 2.934387922E+00 7.832284570E-01 -7.522516884E-03 2.442403324E-02 5.497821840E-04 1.764482819E-03 1.557297446E-02
 2.928199053E+00 8.106522560E-01 -8.035059087E-03 2.446326055E-02 6.341300323E-04 1.875763992E-03 1.578232460E-02
 2.922010422E+00 8.357750177E-01 -8.523135446E-03 2.433870547E-02 7.238428225E-04 1.971329097E-03 1.590092853E-02
 2.915821552E+00 8.587238789E-01 -8.985384367E-03 2.408499643E-02 8.185992483E-04 2.051364398E-03 1.594587788E-02
 2.909632683E+00 8.796145320E-01 -9.420560673E-03 2.372230403E-02 9.179384797E-04 2.116738120E-03 1.592557132E-02
 2.903444052E+00 8.986080289E-01 -9.828784503E-03 2.329787984E-02 1.022276469E-03 2.167125233E-03 1.586709172E-02
 2.897255182E+00 9.160138965E-01 -1.021245029E-02 2.283174545E-02 1.130504650E-03 2.205616096E-03 1.577988826E-02
 2.891066551E+00 9.319673181E-01 -1.057378948E-02 2.233930305E-02 1.242264640E-03 2.233280102E-03 1.567203552E-02
 2.884877682E+00 9.465865493E-01 -1.091290079E-02 2.183429711E-02 1.357323606E-03 2.251237631E-03 1.555079594E-02
 2.878689051E+00 9.599384665E-01 -1.122948341E-02 2.132892795E-02 1.475083991E-03 2.260474954E-03 1.542226505E-02
 2.872500181E+00 9.721434712E-01 -1.152523421E-02 2.083092742E-02 1.595611451E-03 2.261920599E-03 1.529090479E-02
 2.866311550E+00 9.833676219E-01 -1.180219650E-02 2.034649439E-02 1.718160929E-03 2.257160610E-03 1.516049635E-02
 2.860122681E+00 9.937129617E-01 -1.206205506E-02 1.987864636E-02 1.842476428E-03 2.247025492E-03 1.503304765E-02
 2.853934050E+00 1.003261924E+00 -1.230591163E-02 1.942981593E-02 1.968231052E-03 2.232323866E-03 1.491014473E-02
 2.847745180E+00 1.012096405E+00 -1.253532711E-02 1.900084876E-02 2.095137723E-03 2.213682281E-03 1.479263417E-02
 2.841556549E+00 1.020278215E+00 -1.275073458E-02 1.859297603E-02 2.222801093E-03 2.191724721E-03 1.468134765E-02
 2.835367680E+00 1.027830005E+00 -1.295324694E-02 1.820674539E-02 2.351228381E-03 2.166597871E-03 1.457682997E-02
 2.829179049E+00 1.034851313E+00 -1.314431243E-02 1.784070581E-02 2.479868475E-03 2.139014425E-03 1.447887067E-02
 2.822990179E+00 1.041409135E+00 -1.332538016E-02 1.749366149E-02 2.608651761E-03 2.109254710E-03 1.438736636E-02
 2.816801548E+00 1.047548294E+00 -1.349710394E-02 1.716466434E-02 2.737332601E-03 2.077648183E-03 1.430216711E-02
 2.810612679E+00 1.053308606E+00 -1.366072986E-02 1.685249619E-02 2.865639515E-03 2.044378314E-03 1.422291715E-02
 2.804423809E+00 1.058731198E+00 -1.381765865E-02 1.655582897E-02 2.993408125E-03 2.009532880E-03 1.414921973E-02
 2.798235178E+00 1.063753366E+00 -1.396624744E-02 1.627781615E-02 3.120432375E-03 1.972881611E-03 1.408247277E-02
