##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 2   (Re = 1400, DNS) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 1.044701692E-02 -1.526975097E-07 1.653125946E-05 3.775245047E-11 8.453416855E-10 1.177046215E-05
 3.027219296E+00 5.207900330E-02 -7.761990855E-05 3.900805605E-04 1.594761443E-07 1.050846549E-06 2.655284188E-04
 3.021030426E+00 9.479840100E-02 -2.515594824E-04 1.232315437E-03 1.378008392E-06 6.920707619E-06 8.119636914E-04
 3.014841557E+00 1.385185868E-01 -5.159493885E-04 2.521099756E-03 4.864267794E-06 2.224519085E-05 1.616926165E-03
 3.008652925E+00 1.830064803E-01 -8.633133257E-04 4.220763221E-03 1.159108069E-05 5.119196067E-05 2.647968009E-03
 3.002464056E+00 2.280859351E-01 -1.293859794E-03 6.313425023E-03 2.266451702E-05 9.900435543E-05 3.887811908E-03
 2.996275425E+00 2.734180093E-01 -1.796813216E-03 8.700915612E-03 3.835655298E-05 1.673591178E-04 5.280801095E-03
 2.990086555E+00 3.186441660E-01 -2.364015440E-03 1.129204966E-02 5.884895290E-05 2.568076598E-04 6.778126117E-03
 2.983897924E+00 3.633983731E-01 -2.990441397E-03 1.397749502E-02 8.437732322E-05 3.673769243E-04 8.323339745E-03
 2.977709055E+00 4.073749781E-01 -3.665396012E-03 1.664960198E-02 1.147228977E-04 4.959444050E-04 9.861774743E-03
 2.971520424E+00 4.503004253E-01 -4.379891790E-03 1.920856349E-02 1.496066252E-04 6.388088223E-04 1.134308521E-02
 2.965331554E+00 4.917804897E-01 -5.130202509E-03 2.155097574E-02 1.895359164E-04 7.933399756E-04 1.271533780E-02
 2.959142923E+00 5.317366719E-01 -5.903127138E-03 2.364206873E-02 2.336836333E-04 9.534828132E-04 1.396062225E-02
 2.952954054E+00 5.700160265E-01 -6.691738032E-03 2.544133179E-02 2.820404770E-04 1.115708612E-03 1.505839452E-02
