##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 1   (Re = 700, DNS) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 1.035330631E-02 -1.724304525E-06 7.001423455E-06 6.726109947E-11 1.842336395E-09 5.425225936E-06
 3.027219296E+00 5.044705421E-02 -6.380621926E-05 1.522552338E-04 2.815533939E-08 4.520910011E-07 1.152394907E-04
 3.021030426E+00 9.037102759E-02 -2.001056273E-04 4.850604455E-04 2.771006393E-07 2.873179028E-06 3.593367292E-04
 3.014841557E+00 1.302168965E-01 -4.055740719E-04 9.986114455E-04 1.084720452E-06 9.072877219E-06 7.250834024E-04
 3.008652925E+00 1.698988080E-01 -6.746861618E-04 1.685258932E-03 2.826566970E-06 2.084982953E-05 1.201306237E-03
 3.002464056E+00 2.093155831E-01 -1.001084223E-03 2.533440711E-03 5.840475751E-06 3.974393621E-05 1.776274759E-03
 2.996275425E+00 2.483885735E-01 -1.382757560E-03 3.541841637E-03 1.058916132E-05 6.792799832E-05 2.445780672E-03
 2.990086555E+00 2.870309651E-01 -1.813005656E-03 4.687283654E-03 1.735352453E-05 1.063830059E-04 3.193764249E-03
 2.983897924E+00 3.251973391E-01 -2.284828573E-03 5.946402438E-03 2.635989222E-05 1.557606302E-04 4.005702678E-03
 2.977709055E+00 3.626596332E-01 -2.795845503E-03 7.296049036E-03 3.802016727E-05 2.170896769E-04 4.867418669E-03
 2.971520424E+00 3.994542956E-01 -3.337749047E-03 8.703385480E-03 5.241972758E-05 2.897687664E-04 5.760841072E-03
 2.965331554E+00 4.353640378E-01 -3.906243714E-03 1.013431698E-02 6.972251867E-05 3.730240278E-04 6.666711066E-03
 2.959142923E+00 4.702833295E-01 -4.496690817E-03 1.155740302E-02 9.040382429E-05 4.668586480E-04 7.568407804E-03
 2.952954054E+00 5.042451620E-01 -5.102167372E-03 1.294484548E-02 1.142360561E-04 5.687484518E-04 8.451069705E-03
 2.946765423E+00 5.370786786E-01 -5.719341803E-03 1.426924765E-02 1.413573627E-04 6.771535263E-04 9.299709462E-03
 2.940576553E+00 5.686543584E-01 -6.344776601E-03 1.549892686E-02 1.724863250E-04 7.912674919E-04 1.009800006E-02
 2.934387922E+00 5.990342498E-01 -6.971113384E-03 1.662541181E-02 2.072180796E-04 9.082674515E-04 1.084130164E-02
 2.928199053E+00 6.281645298E-01 -7.595732808E-03 1.763746515E-02 2.456501825E-04 1.026367303E-03 1.152348146E-02
 2.922010422E+00 6.560303569E-01 -8.216201328E-03 1.852834783E-02 2.878853120E-04 1.143906382E-03 1.214089151E-02
 2.915821552E+00 6.825885177E-01 -8.828877471E-03 1.929386891E-02 3.339786490E-04 1.259158482E-03 1.269101817E-02
 2.909632683E+00 7.078199387E-01 -9.430782869E-03 1.992781274E-02 3.840633144E-04 1.370667131E-03 1.316986978E-02
 2.903444052E+00 7.317091823E-01 -1.001883298E-02 2.044036798E-02 4.384453350E-04 1.476794248E-03 1.358369552E-02
 2.897255182E+00 7.543867230E-01 -1.059166808E-02 2.084546164E-02 4.966815468E-04 1.576990820E-03 1.393908821E-02
