##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 1   (Re = 700, DNS) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.034032106E+00 9.008668363E-03 2.325694481E-08 2.813739002E-06 2.268960437E-13 1.293431195E-10 2.349874876E-06
 3.029668093E+00 4.887670651E-02 2.865008128E-06 8.204173355E-05 9.586368144E-09 3.053023931E-07 6.737602234E-05
 3.025304079E+00 8.770809323E-02 1.055208304E-05 2.641553583E-04 9.543282431E-08 1.841261678E-06 2.139587305E-04
 3.020940065E+00 1.255684346E-01 2.447826773E-05 5.447258009E-04 3.889335574E-07 5.621202035E-06 4.353377735E-04
 3.016575813E+00 1.623623818E-01 4.595759310E-05 9.187611868E-04 1.065267384E-06 1.264515686E-05 7.248080801E-04
 3.012211800E+00 1.981213838E-01 7.672204083E-05 1.385016367E-03 2.361371116E-06 2.408133514E-05 1.078827190E-03
 3.007847786E+00 2.328484952E-01 1.178317034E-04 1.933025196E-03 4.478990377E-06 4.062898734E-05 1.487969188E-03
 3.003483772E+00 2.665420175E-01 1.698531996E-04 2.553600119E-03 7.606384770E-06 6.282047980E-05 1.944467775E-03
 2.999119520E+00 2.991593480E-01 2.342046209E-04 3.242818639E-03 1.203222109E-05 9.157315071E-05 2.444441197E-03
 2.994755507E+00 3.307077289E-01 3.124096256E-04 3.988442011E-03 1.795733078E-05 1.271361252E-04 2.979059704E-03
 2.990391493E+00 3.612362444E-01 4.035004822E-04 4.779135343E-03 2.552145997E-05 1.694437815E-04 3.540542908E-03
 2.986027479E+00 3.906080723E-01 5.101458519E-04 5.603462458E-03 3.501317042E-05 2.188008948E-04 4.121137783E-03
 2.981663227E+00 4.189501405E-01 6.307782605E-04 6.450369954E-03 4.652220377E-05 2.747385297E-04 4.713964649E-03
 2.977299213E+00 4.462682307E-01 7.668609032E-04 7.307544816E-03 6.012841914E-05 3.366853343E-04 5.311439279E-03
 2.972935200E+00 4.724317491E-01 9.197953623E-04 8.164158091E-03 7.626454317E-05 4.048572446E-04 5.906727165E-03
 2.968571186E+00 4.975749552E-01 1.085988595E-03 9.009073488E-03 9.466054325E-05 4.776346323E-04 6.493279245E-03
 2.964206934E+00 5.217105746E-01 1.267665182E-03 9.834850207E-03 1.154375204E-04 5.545123131E-04 7.066790015E-03
 2.959842920E+00 5.447729826E-01 1.465677284E-03 1.063170470E-02 1.390076795E-04 6.352353957E-04 7.621434052E-03
 2.955478907E+00 5.667850375E-01 1.677878201E-03 1.139236521E-02 1.651464554E-04 7.184130372E-04 8.152836934E-03
 2.951114893E+00 5.878522396E-01 1.903768629E-03 1.211473532E-02 1.938521600E-04 8.033521008E-04 8.660105057E-03
 2.946750641E+00 6.079674959E-01 2.145157428E-03 1.279504783E-02 2.251335245E-04 8.892883197E-04 9.140986018E-03
 2.942386627E+00 6.271621585E-01 2.401261823E-03 1.343087666E-02 2.590022923E-04 9.755247738E-04 9.594118223E-03
 2.938022614E+00 6.454750299E-01 2.671274822E-03 1.402118057E-02 2.954809752E-04 1.061439980E-03 1.001900155E-02
 2.933658600E+00 6.629158258E-01 2.954228316E-03 1.456501149E-02 3.345174482E-04 1.146333758E-03 1.041504648E-02
 2.929294348E+00 6.795074940E-01 3.249141155E-03 1.506249607E-02 3.760444815E-04 1.229588292E-03 1.078233309E-02
