##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 1   (Re = 700, DNS) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 3.670725971E-03 -1.124683308E-06 5.673094620E-06 4.509157370E-12 1.356915358E-09 4.343428827E-06
 3.027219296E+00 1.837202907E-02 -1.180540039E-06 1.296332048E-04 3.257401460E-08 2.373390089E-07 9.666354890E-05
 3.021030426E+00 3.363612667E-02 -5.523174877E-06 4.013552389E-04 2.999376534E-07 1.457176381E-06 2.930048213E-04
 3.014841557E+00 4.944971949E-02 -1.404686645E-05 8.101934218E-04 1.121986770E-06 4.504217941E-06 5.799562787E-04
 3.008652925E+00 6.583819538E-02 -2.769842831E-05 1.355491113E-03 2.902941560E-06 1.041185169E-05 9.519232553E-04
 3.002464056E+00 8.276279271E-02 -4.882952271E-05 2.036198741E-03 6.111641596E-06 2.038309685E-05 1.403224189E-03
 2.996275425E+00 1.002025530E-01 -7.724641910E-05 2.837923821E-03 1.093864830E-05 3.495208875E-05 1.922507188E-03
 2.990086555E+00 1.181537583E-01 -1.160969477E-04 3.773301607E-03 1.797146251E-05 5.585490362E-05 2.513525076E-03
 2.983897924E+00 1.365261376E-01 -1.641612762E-04 4.819103517E-03 2.711648995E-05 8.297614113E-05 3.162031062E-03
 2.977709055E+00 1.553447843E-01 -2.252641862E-04 5.981034134E-03 3.876549818E-05 1.176289225E-04 3.869416891E-03
 2.971520424E+00 1.745402366E-01 -2.981167345E-04 7.247408386E-03 5.297457756E-05 1.602167031E-04 4.628639203E-03
 2.965331554E+00 1.940564662E-01 -3.842187289E-04 8.601238020E-03 6.958299491E-05 2.103766165E-04 5.430471618E-03
 2.959142923E+00 2.138708085E-01 -4.859621404E-04 1.003782265E-02 8.879644884E-05 2.688810637E-04 6.271913648E-03
 2.952954054E+00 2.339200228E-01 -6.034720573E-04 1.154203806E-02 1.105743504E-04 3.356854140E-04 7.145079318E-03
 2.946765423E+00 2.541487217E-01 -7.356101414E-04 1.309475303E-02 1.346635981E-04 4.099290527E-04 8.040575311E-03
 2.940576553E+00 2.745085657E-01 -8.842682000E-04 1.468100958E-02 1.609552128E-04 4.911373835E-04 8.950916119E-03
 2.934387922E+00 2.949585021E-01 -1.050475519E-03 1.628587767E-02 1.893434965E-04 5.787524860E-04 9.868807159E-03
 2.928199053E+00 3.154331446E-01 -1.233948278E-03 1.789244451E-02 2.196993591E-04 6.720642559E-04 1.078590378E-02
 2.922010422E+00 3.359232843E-01 -1.436221530E-03 1.948682964E-02 2.520798880E-04 7.707344485E-04 1.169571001E-02
 2.915821552E+00 3.563091755E-01 -1.655952656E-03 2.104846388E-02 2.861206885E-04 8.731539710E-04 1.258789655E-02
 2.909632683E+00 3.766014874E-01 -1.893343753E-03 2.256822959E-02 3.217681951E-04 9.785998845E-04 1.345846895E-02
 2.903444052E+00 3.967430592E-01 -2.148176776E-03 2.403225005E-02 3.588746767E-04 1.086043078E-03 1.430058293E-02
 2.897255182E+00 4.166858494E-01 -2.420633333E-03 2.542678080E-02 3.973199928E-04 1.194486860E-03 1.510738675E-02
 2.891066551E+00 4.364233911E-01 -2.710063709E-03 2.674930170E-02 4.371303949E-04 1.303155324E-03 1.587838866E-02
 2.884877682E+00 4.559022188E-01 -3.016016679E-03 2.798865363E-02 4.781427851E-04 1.411043573E-03 1.660772972E-02
 2.878689051E+00 4.750810862E-01 -3.337458242E-03 2.913802303E-02 5.202612956E-04 1.517258584E-03 1.729198173E-02
 2.872500181E+00 4.939573109E-01 -3.674298059E-03 3.019443527E-02 5.634771078E-04 1.621182077E-03 1.792978682E-02
 2.866311550E+00 5.125182867E-01 -4.025834613E-03 3.115576319E-02 6.077644066E-04 1.722202171E-03 1.852010377E-02
 2.860122681E+00 5.307269096E-01 -4.390990362E-03 3.201998398E-02 6.530304672E-04 1.819647499E-03 1.906172559E-02
 2.853934050E+00 5.485705733E-01 -4.769012798E-03 3.278682381E-02 6.992535782E-04 1.913052518E-03 1.955443621E-02
 2.847745180E+00 5.659842491E-01 -5.161148030E-03 3.344232589E-02 7.465757662E-04 2.001272514E-03 1.999110542E-02
 2.841556549E+00 5.829979181E-01 -5.564270075E-03 3.400242701E-02 7.948023267E-04 2.084506676E-03 2.037949488E-02
 2.835367680E+00 5.996260047E-01 -5.978197791E-03 3.447177634E-02 8.439368685E-04 2.162676770E-03 2.072188817E-02
 2.829179049E+00 6.158653498E-01 -6.401422434E-03 3.485525772E-02 8.939378895E-04 2.235711785E-03 2.102055401E-02
 2.822990179E+00 6.317189336E-01 -6.832078565E-03 3.515853360E-02 9.447677294E-04 2.303638263E-03 2.127819881E-02
 2.816801548E+00 6.470915079E-01 -7.271407638E-03 3.536845744E-02 9.965588106E-04 2.365184715E-03 2.148783207E-02
 2.810612679E+00 6.620036960E-01 -7.718047593E-03 3.549421579E-02 1.049317536E-03 2.420509700E-03 2.165396512E-02
 2.804423809E+00 6.765468121E-01 -8.170698769E-03 3.555560112E-02 1.102859620E-03 2.470814623E-03 2.178670466E-02
 2.798235178E+00 6.907365918E-01 -8.627449162E-03 3.555872291E-02 1.157143270E-03 2.516357694E-03 2.188909240E-02
 2.792046309E+00 7.043834329E-01 -9.089597501E-03 3.548029438E-02 1.212522155E-03 2.554740990E-03 2.194868587E-02
 2.785857677E+00 7.176290751E-01 -9.555058554E-03 3.534748405E-02 1.268703723E-03 2.587891882E-03 2.197951637E-02
 2.779668808E+00 7.305539250E-01 -1.002260391E-02 3.517287597E-02 1.325539546E-03 2.616875805E-03 2.198817581E-02
 2.773480177E+00 7.429865003E-01 -1.049253065E-02 3.493840247E-02 1.383410301E-03 2.639522543E-03 2.196492068E-02
 2.767291307E+00 7.550000548E-01 -1.096330024E-02 3.466009721E-02 1.442148234E-03 2.656954341E-03 2.191799507E-02
 2.761102676E+00 7.667415142E-01 -1.143506821E-02 3.435394540E-02 1.501462189E-03 2.671026625E-03 2.185600996E-02
 2.754913807E+00 7.779319286E-01 -1.190694328E-02 3.399787843E-02 1.561926445E-03 2.678442746E-03 2.176671289E-02
 2.748725176E+00 7.888140678E-01 -1.237722114E-02 3.361815587E-02 1.623097691E-03 2.682117280E-03 2.166425996E-02
 2.742536306E+00 7.993933558E-01 -1.284741983E-02 3.321459517E-02 1.684988383E-03 2.682158025E-03 2.154859528E-02
 2.736347675E+00 8.094556332E-01 -1.331558358E-02 3.277850524E-02 1.748086303E-03 2.676377306E-03 2.141434886E-02
 2.730158806E+00 8.193393350E-01 -1.378286257E-02 3.233232722E-02 1.811612514E-03 2.668568864E-03 2.127424814E-02
 2.723970175E+00 8.287066221E-01 -1.424650662E-02 3.186088800E-02 1.876401599E-03 2.654859098E-03 2.111914754E-02
 2.717781305E+00 8.378460407E-01 -1.470702887E-02 3.138189018E-02 1.941743540E-03 2.638811246E-03 2.095912211E-02
 2.711592674E+00 8.466193080E-01 -1.516606100E-02 3.088990413E-02 2.008079551E-03 2.619137056E-03 2.079081535E-02
 2.705403805E+00 8.550609350E-01 -1.562009566E-02 3.039141744E-02 2.075219294E-03 2.595868660E-03 2.061756514E-02
 2.699215174E+00 8.632531762E-01 -1.607332379E-02 2.988763154E-02 2.143062884E-03 2.570037963E-03 2.044044062E-02
 2.693026304E+00 8.710468411E-01 -1.651754975E-02 2.938308381E-02 2.212066203E-03 2.540204208E-03 2.026106417E-02
 2.686837435E+00 8.786705732E-01 -1.696111448E-02 2.887777612E-02 2.281710971E-03 2.508767880E-03 2.008056454E-02
 2.680648804E+00 8.858864903E-01 -1.739810407E-02 2.837527171E-02 2.352502430E-03 2.473428613E-03 1.989914477E-02
 2.674459934E+00 8.929285407E-01 -1.783586666E-02 2.787383273E-02 2.423964441E-03 2.436571289E-03 1.971734501E-02
 2.668271303E+00 8.996610045E-01 -1.826433092E-02 2.737869136E-02 2.496185945E-03 2.397068078E-03 1.953670196E-02
 2.662082434E+00 9.061037302E-01 -1.868938841E-02 2.688944712E-02 2.569397679E-03 2.355303848E-03 1.935727708E-02
 2.655893803E+00 9.124649167E-01 -1.911078207E-02 2.640284225E-02 2.642752370E-03 2.312788041E-03 1.917861588E-02
 2.649704933E+00 9.183166623E-01 -1.952438429E-02 2.593271993E-02 2.717850264E-03 2.266200492E-03 1.900513284E-02
 2.643516302E+00 9.241639972E-01 -1.993908547E-02 2.546282858E-02 2.793044550E-03 2.219617367E-03 1.883177646E-02
 2.637327433E+00 9.296855330E-01 -2.034315653E-02 2.500708215E-02 2.869089367E-03 2.170755062E-03 1.866334490E-02
 2.631138802E+00 9.349326491E-01 -2.074301988E-02 2.456360310E-02 2.946175402E-03 2.120140009E-03 1.849940233E-02
 2.624949932E+00 9.401833415E-01 -2.114220895E-02 2.411988936E-02 3.023198340E-03 2.069518669E-03 1.833533682E-02
 2.618761301E+00 9.450062513E-01 -2.153057605E-02 2.369919792E-02 3.101611976E-03 2.016082173E-03 1.818025485E-02
 2.612572432E+00 9.496701956E-01 -2.191824280E-02 2.328747697E-02 3.180792090E-03 1.961733913E-03 1.802884787E-02
 2.606383801E+00 9.543384314E-01 -2.230510302E-02 2.287539840E-02 3.259888152E-03 1.907376572E-03 1.787725091E-02
 2.600194931E+00 9.586155415E-01 -2.267900668E-02 2.248824760E-02 3.340099473E-03 1.850908040E-03 1.773590595E-02
 2.594006300E+00 9.627177715E-01 -2.305041812E-02 2.211269364E-02 3.421072150E-03 1.793614472E-03 1.759950630E-02
 2.587817430E+00 9.668200016E-01 -2.342182770E-02 2.173713781E-02 3.502044827E-03 1.736320788E-03 1.746310666E-02
 2.581628561E+00 9.706994295E-01 -2.378496900E-02 2.137789316E-02 3.583498532E-03 1.677958295E-03 1.733379811E-02
 2.575439930E+00 9.742682576E-01 -2.414243855E-02 2.104215138E-02 3.666130826E-03 1.618291601E-03 1.721499674E-02
 2.569251060E+00 9.778363109E-01 -2.450008318E-02 2.070651017E-02 3.748784307E-03 1.558626886E-03 1.709624752E-02
 2.563062429E+00 9.814078212E-01 -2.485701814E-02 2.037046850E-02 3.831352806E-03 1.498954138E-03 1.697728038E-02
 2.556873560E+00 9.845106602E-01 -2.519843727E-02 2.007423714E-02 3.914952278E-03 1.437776024E-03 1.687665284E-02
 2.550684929E+00 9.875738025E-01 -2.553967759E-02 1.978158019E-02 3.998740576E-03 1.376509084E-03 1.677772216E-02
 2.544496059E+00 9.906368852E-01 -2.588091791E-02 1.948892325E-02 4.082529340E-03 1.315242145E-03 1.667879336E-02
 2.538307428E+00 9.936175346E-01 -2.621882036E-02 1.920396462E-02 4.166388419E-03 1.253743190E-03 1.658352464E-02
 2.532118559E+00 9.962117672E-01 -2.654622681E-02 1.895588636E-02 4.251048435E-03 1.191338873E-03 1.650598831E-02
 2.525929928E+00 9.988056421E-01 -2.687369473E-02 1.870785654E-02 4.335716367E-03 1.128936652E-03 1.642847806E-02
 2.519741058E+00 1.001399517E+00 -2.720116265E-02 1.845982857E-02 4.420384299E-03 1.066534431E-03 1.635096781E-02
 2.513552427E+00 1.003905535E+00 -2.752551809E-02 1.822094619E-02 4.505115561E-03 1.003972720E-03 1.627791487E-02
 2.507363558E+00 1.006068707E+00 -2.783814818E-02 1.801780425E-02 4.590140656E-03 9.407972102E-04 1.622229069E-02
 2.501174927E+00 1.008231878E+00 -2.815078199E-02 1.781465858E-02 4.675166216E-03 8.776206523E-04 1.616666652E-02
