Points:0	Points:1	abs_DELTA_R3	DELTA_R3
9.0	3.036	6.34256e-09	6.34256e-09
8.90909	3.036	6.41217e-09	6.41217e-09
8.81818	3.036	6.55176e-09	6.55176e-09
8.72727	3.036	6.67891e-09	6.67891e-09
8.63636	3.036	6.79314e-09	6.79314e-09
8.54545	3.036	6.91541e-09	6.91541e-09
8.45455	3.036	7.04308e-09	7.04308e-09
8.36364	3.036	7.15833e-09	7.15833e-09
8.27273	3.036	7.27118e-09	7.27118e-09
8.18182	3.036	7.388e-09	7.388e-09
8.09091	3.036	7.49106e-09	7.49106e-09
8.0	3.036	7.57535e-09	7.57535e-09
7.90909	3.036	7.65304e-09	7.65304e-09
7.81818	3.036	7.7303e-09	7.7303e-09
7.72727	3.036	7.79633e-09	7.79633e-09
7.63636	3.036	7.8508e-09	7.8508e-09
7.54545	3.036	7.90232e-09	7.90232e-09
7.45455	3.036	7.95988e-09	7.95988e-09
7.36364	3.036	8.02955e-09	8.02955e-09
7.27273	3.036	8.09427e-09	8.09427e-09
7.18182	3.036	8.15334e-09	8.15334e-09
7.09091	3.036	8.19842e-09	8.19842e-09
7.0	3.036	8.23476e-09	8.23476e-09
6.90909	3.036	8.28294e-09	8.28294e-09
6.81818	3.036	8.34911e-09	8.34911e-09
6.72727	3.036	8.42724e-09	8.42724e-09
6.63636	3.036	8.49672e-09	8.49672e-09
6.54545	3.036	8.5453e-09	8.5453e-09
6.45455	3.036	8.6007e-09	8.6007e-09
6.36364	3.036	8.64548e-09	8.64548e-09
6.27273	3.036	8.65737e-09	8.65737e-09
6.18182	3.036	8.68973e-09	8.68973e-09
6.09091	3.036	8.73878e-09	8.73878e-09
6.0	3.036	8.79969e-09	8.79969e-09
5.90909	3.036	8.86144e-09	8.86144e-09
5.81818	3.036	8.90715e-09	8.90715e-09
5.72727	3.036	8.91772e-09	8.91772e-09
5.63636	3.036	8.8919e-09	8.8919e-09
5.54545	3.036	8.84206e-09	8.84206e-09
5.45455	3.036	8.77701e-09	8.77701e-09
5.36364	3.036	8.71839e-09	8.71839e-09
5.27273	3.036	8.70781e-09	8.70781e-09
5.18182	3.036	8.72947e-09	8.72947e-09
5.09091	3.036	8.70024e-09	8.70024e-09
5.0	3.036	8.62059e-09	8.62059e-09
4.90909	3.036	8.52215e-09	8.52215e-09
4.81818	3.036	8.40017e-09	8.40017e-09
4.72727	3.036	8.23808e-09	8.23808e-09
4.63636	3.036	8.06866e-09	8.06866e-09
4.54545	3.036	7.92116e-09	7.92116e-09
4.45455	3.036	7.74857e-09	7.74857e-09
4.36364	3.036	7.50304e-09	7.50304e-09
4.27273	3.036	7.23896e-09	7.23896e-09
