Points:0	Points:1	abs_DELTA_R1	DELTA_R1
9.0	3.036	5.36081333333e-10	5.36081333333e-10
8.90909	3.036	5.41487333333e-10	5.41487333333e-10
8.81818	3.036	5.53430333333e-10	5.53430333333e-10
8.72727	3.036	5.66093333333e-10	5.66093333333e-10
8.63636	3.036	5.79742333333e-10	5.79742333333e-10
8.54545	3.036	5.95207333333e-10	5.95207333333e-10
8.45455	3.036	6.12506333333e-10	6.12506333333e-10
8.36364	3.036	6.30712333333e-10	6.30712333333e-10
8.27273	3.036	6.48937333333e-10	6.48937333333e-10
8.18182	3.036	6.67484333333e-10	6.67484333333e-10
8.09091	3.036	6.85977333333e-10	6.85977333333e-10
8.0	3.036	7.05871333333e-10	7.05871333333e-10
7.90909	3.036	7.27318333333e-10	7.27318333333e-10
7.81818	3.036	7.48919333333e-10	7.48919333333e-10
7.72727	3.036	7.70220333333e-10	7.70220333333e-10
7.63636	3.036	7.92368333333e-10	7.92368333333e-10
7.54545	3.036	8.15809333333e-10	8.15809333333e-10
7.45455	3.036	8.40284333333e-10	8.40284333333e-10
7.36364	3.036	8.66359333333e-10	8.66359333333e-10
7.27273	3.036	8.92076333333e-10	8.92076333333e-10
7.18182	3.036	9.16973333333e-10	9.16973333333e-10
7.09091	3.036	9.422383333329998e-10	9.422383333329998e-10
7.0	3.036	9.685553333329999e-10	9.685553333329999e-10
6.90909	3.036	9.94870333333e-10	9.94870333333e-10
6.81818	3.036	1.020969333333e-09	1.020969333333e-09
6.72727	3.036	1.047239333333e-09	1.047239333333e-09
6.63636	3.036	1.074749333333e-09	1.074749333333e-09
6.54545	3.036	1.102309333333e-09	1.102309333333e-09
6.45455	3.036	1.129789333333e-09	1.129789333333e-09
6.36364	3.036	1.1572493333329998e-09	1.1572493333329998e-09
6.27273	3.036	1.1806593333329998e-09	1.1806593333329998e-09
6.18182	3.036	1.203889333333e-09	1.203889333333e-09
6.09091	3.036	1.231509333333e-09	1.231509333333e-09
6.0	3.036	1.260509333333e-09	1.260509333333e-09
5.90909	3.036	1.2880093333329999e-09	1.2880093333329999e-09
5.81818	3.036	1.3169593333329999e-09	1.3169593333329999e-09
5.72727	3.036	1.3425793333329998e-09	1.3425793333329998e-09
5.63636	3.036	1.3621293333329998e-09	1.3621293333329998e-09
5.54545	3.036	1.378129333333e-09	1.378129333333e-09
5.45455	3.036	1.388999333333e-09	1.388999333333e-09
5.36364	3.036	1.397019333333e-09	1.397019333333e-09
5.27273	3.036	1.409099333333e-09	1.409099333333e-09
5.18182	3.036	1.426049333333e-09	1.426049333333e-09
5.09091	3.036	1.434949333333e-09	1.434949333333e-09
5.0	3.036	1.434289333333e-09	1.434289333333e-09
4.90909	3.036	1.4262293333329998e-09	1.4262293333329998e-09
4.81818	3.036	1.4081793333329999e-09	1.4081793333329999e-09
4.72727	3.036	1.3878993333329998e-09	1.3878993333329998e-09
4.63636	3.036	1.366599333333e-09	1.366599333333e-09
4.54545	3.036	1.3410093333329998e-09	1.3410093333329998e-09
4.45455	3.036	1.3112693333329999e-09	1.3112693333329999e-09
4.36364	3.036	1.2747193333329998e-09	1.2747193333329998e-09
4.27273	3.036	1.2379093333329998e-09	1.2379093333329998e-09
4.18182	3.036	1.2063093333329998e-09	1.2063093333329998e-09
4.09091	3.036	1.1733793333329998e-09	1.1733793333329998e-09
4.0	3.036	1.1343993333329998e-09	1.1343993333329998e-09
3.90909	3.036	1.088879333333e-09	1.088879333333e-09
3.81818	3.036	1.0410193333329999e-09	1.0410193333329999e-09
3.72727	3.036	9.97851333333e-10	9.97851333333e-10
3.63636	3.036	9.63032333333e-10	9.63032333333e-10
3.54545	3.036	9.28718333333e-10	9.28718333333e-10
3.45455	3.036	8.91238333333e-10	8.91238333333e-10
3.36364	3.036	8.570963333330001e-10	8.570963333330001e-10
3.27273	3.036	8.21795333333e-10	8.21795333333e-10
3.18182	3.036	7.83949333333e-10	7.83949333333e-10
3.09091	3.036	7.488963333330001e-10	7.488963333330001e-10
3.0	3.036	7.158473333330001e-10	7.158473333330001e-10
2.90909	3.036	6.86714333333e-10	6.86714333333e-10
2.81818	3.036	6.626573333330001e-10	6.626573333330001e-10
2.72727	3.036	6.40968333333e-10	6.40968333333e-10
2.63636	3.036	6.20914333333e-10	6.20914333333e-10
2.54545	3.036	5.99891333333e-10	5.99891333333e-10
2.45455	3.036	5.76146333333e-10	5.76146333333e-10
2.36364	3.036	5.55388333333e-10	5.55388333333e-10
2.27273	3.036	5.41278333333e-10	5.41278333333e-10
2.18182	3.036	5.30438333333e-10	5.30438333333e-10
2.09091	3.036	5.18333333333e-10	5.18333333333e-10
2.0	3.036	5.06978333333e-10	5.06978333333e-10
1.90909	3.036	4.98666333333e-10	4.98666333333e-10
1.81818	3.036	4.915043333330001e-10	4.915043333330001e-10
1.72727	3.036	4.85907333333e-10	4.85907333333e-10
1.63636	3.036	4.79615333333e-10	4.79615333333e-10
1.54545	3.036	4.72354333333e-10	4.72354333333e-10
1.45455	3.036	4.66161333333e-10	4.66161333333e-10
1.36364	3.036	4.60246333333e-10	4.60246333333e-10
1.27273	3.036	4.56388333333e-10	4.56388333333e-10
1.18182	3.036	4.56284333333e-10	4.56284333333e-10
1.09091	3.036	4.57033333333e-10	4.57033333333e-10
1.0	3.036	4.56574333333e-10	4.56574333333e-10
0.909091	3.036	4.57061333333e-10	4.57061333333e-10
0.818182	3.036	4.58840333333e-10	4.58840333333e-10
0.727273	3.036	4.6053633333300003e-10	4.6053633333300003e-10
0.636364	3.036	4.6432733333300003e-10	4.6432733333300003e-10
0.545455	3.036	4.708573333330001e-10	4.708573333330001e-10
0.454545	3.036	4.78372333333e-10	4.78372333333e-10
0.363636	3.036	4.87524333333e-10	4.87524333333e-10
0.272727	3.036	4.99400333333e-10	4.99400333333e-10
0.181818	3.036	5.11583333333e-10	5.11583333333e-10
0.0909091	3.036	5.21325333333e-10	5.21325333333e-10
0.0	3.036	5.255293333330001e-10	5.255293333330001e-10
9.0	3.032	1.268998e-08	-1.268998e-08
8.90909	3.032	1.257404e-08	-1.257404e-08
8.81818	3.032	1.241778e-08	-1.241778e-08
8.72727	3.032	1.231496e-08	-1.231496e-08
8.63636	3.032	1.219758e-08	-1.219758e-08
8.54545	3.032	1.208555e-08	-1.208555e-08
8.45455	3.032	1.196122e-08	-1.196122e-08
8.36364	3.032	1.182926e-08	-1.182926e-08
8.27273	3.032	1.169448e-08	-1.169448e-08
8.18182	3.032	1.155404e-08	-1.155404e-08
8.09091	3.032	1.1410419999999999e-08	-1.1410419999999999e-08
8.0	3.032	1.1261439999999999e-08	-1.1261439999999999e-08
7.90909	3.032	1.110699e-08	-1.110699e-08
7.81818	3.032	1.0949810000000001e-08	-1.0949810000000001e-08
7.72727	3.032	1.079355e-08	-1.079355e-08
7.63636	3.032	1.063573e-08	-1.063573e-08
7.54545	3.032	1.046812e-08	-1.046812e-08
7.45455	3.032	1.030144e-08	-1.030144e-08
7.36364	3.032	1.0127509999999999e-08	-1.0127509999999999e-08
7.27273	3.032	9.941629999999998e-09	-9.941629999999998e-09
7.18182	3.032	9.761399999999999e-09	-9.761399999999999e-09
7.09091	3.032	9.58547e-09	-9.58547e-09
7.0	3.032	9.430220000000001e-09	-9.430220000000001e-09
6.90909	3.032	9.2808e-09	-9.2808e-09
6.81818	3.032	9.12012e-09	-9.12012e-09
6.72727	3.032	8.96571e-09	-8.96571e-09
6.63636	3.032	8.833149999999999e-09	-8.833149999999999e-09
6.54545	3.032	8.70523e-09	-8.70523e-09
6.45455	3.032	8.58455e-09	-8.58455e-09
6.36364	3.032	8.46953e-09	-8.46953e-09
6.27273	3.032	8.37035e-09	-8.37035e-09
6.18182	3.032	8.27759e-09	-8.27759e-09
6.09091	3.032	8.18069e-09	-8.18069e-09
6.0	3.032	8.11064e-09	-8.11064e-09
5.90909	3.032	8.029310000000002e-09	-8.029310000000002e-09
5.81818	3.032	7.949350000000001e-09	-7.949350000000001e-09
5.72727	3.032	7.90668e-09	-7.90668e-09
5.63636	3.032	7.885709999999999e-09	-7.885709999999999e-09
5.54545	3.032	7.856250000000001e-09	-7.856250000000001e-09
5.45455	3.032	7.845330000000001e-09	-7.845330000000001e-09
5.36364	3.032	7.87101e-09	-7.87101e-09
5.27273	3.032	7.89386e-09	-7.89386e-09
5.18182	3.032	7.911470000000001e-09	-7.911470000000001e-09
5.09091	3.032	7.95398e-09	-7.95398e-09
5.0	3.032	8.025800000000001e-09	-8.025800000000001e-09
4.90909	3.032	8.11875e-09	-8.11875e-09
4.81818	3.032	8.23857e-09	-8.23857e-09
4.72727	3.032	8.366409999999999e-09	-8.366409999999999e-09
4.63636	3.032	8.495579999999999e-09	-8.495579999999999e-09
4.54545	3.032	8.63626e-09	-8.63626e-09
4.45455	3.032	8.79111e-09	-8.79111e-09
4.36364	3.032	8.96514e-09	-8.96514e-09
4.27273	3.032	9.14172e-09	-9.14172e-09
4.18182	3.032	9.30962e-09	-9.30962e-09
4.09091	3.032	9.48109e-09	-9.48109e-09
4.0	3.032	9.66863e-09	-9.66863e-09
3.90909	3.032	9.87365e-09	-9.87365e-09
3.81818	3.032	1.008383e-08	-1.008383e-08
3.72727	3.032	1.0283359999999999e-08	-1.0283359999999999e-08
3.63636	3.032	1.046407e-08	-1.046407e-08
3.54545	3.032	1.066046e-08	-1.066046e-08
3.45455	3.032	1.086152e-08	-1.086152e-08
3.36364	3.032	1.1038059999999999e-08	-1.1038059999999999e-08
3.27273	3.032	1.121488e-08	-1.121488e-08
3.18182	3.032	1.13946e-08	-1.13946e-08
3.09091	3.032	1.157793e-08	-1.157793e-08
3.0	3.032	1.175161e-08	-1.175161e-08
2.90909	3.032	1.190103e-08	-1.190103e-08
2.81818	3.032	1.2046959999999999e-08	-1.2046959999999999e-08
2.72727	3.032	1.218201e-08	-1.218201e-08
2.63636	3.032	1.230808e-08	-1.230808e-08
2.54545	3.032	1.243244e-08	-1.243244e-08
2.45455	3.032	1.255902e-08	-1.255902e-08
2.36364	3.032	1.267441e-08	-1.267441e-08
2.27273	3.032	1.27696e-08	-1.27696e-08
2.18182	3.032	1.2862739999999999e-08	-1.2862739999999999e-08
2.09091	3.032	1.294476e-08	-1.294476e-08
2.0	3.032	1.301978e-08	-1.301978e-08
1.90909	3.032	1.3091999999999999e-08	-1.3091999999999999e-08
1.81818	3.032	1.315742e-08	-1.315742e-08
1.72727	3.032	1.3206869999999999e-08	-1.3206869999999999e-08
1.63636	3.032	1.325258e-08	-1.325258e-08
1.54545	3.032	1.330351e-08	-1.330351e-08
1.45455	3.032	1.3344462e-08	-1.3344462e-08
1.36364	3.032	1.3371359e-08	-1.3371359e-08
1.27273	3.032	1.3384331e-08	-1.3384331e-08
1.18182	3.032	1.3385787e-08	-1.3385787e-08
1.09091	3.032	1.3381493000000001e-08	-1.3381493000000001e-08
1.0	3.032	1.3375775000000001e-08	-1.3375775000000001e-08
0.909091	3.032	1.3363624e-08	-1.3363624e-08
0.818182	3.032	1.3345138e-08	-1.3345138e-08
0.727273	3.032	1.3321833e-08	-1.3321833e-08
0.636364	3.032	1.3287381e-08	-1.3287381e-08
0.545455	3.032	1.3241779e-08	-1.3241779e-08
0.454545	3.032	1.3181808e-08	-1.3181808e-08
0.363636	3.032	1.3108263e-08	-1.3108263e-08
0.272727	3.032	1.301192e-08	-1.301192e-08
0.181818	3.032	1.288609e-08	-1.288609e-08
0.0909091	3.032	1.2748520000000001e-08	-1.2748520000000001e-08
0.0	3.032	1.2678609999999999e-08	-1.2678609999999999e-08
9.0	3.02782	1.008806e-07	-1.008806e-07
8.90909	3.02782	9.99844e-08	-9.99844e-08
8.81818	3.02782	9.88397e-08	-9.88397e-08
8.72728	3.02781	9.825150000000001e-08	-9.825150000000001e-08
8.63637	3.02779	9.76788e-08	-9.76788e-08
8.54546	3.02777	9.71998e-08	-9.71998e-08
8.45455	3.02776	9.66542e-08	-9.66542e-08
8.36363	3.02774	9.60719e-08	-9.60719e-08
8.27271	3.02772	9.5463e-08	-9.5463e-08
8.1818	3.02769	9.48004e-08	-9.48004e-08
8.09088	3.02767	9.4097e-08	-9.4097e-08
7.99997	3.02765	9.333349999999999e-08	-9.333349999999999e-08
7.90905	3.02763	9.253150000000001e-08	-9.253150000000001e-08
7.81814	3.02761	9.16927e-08	-9.16927e-08
7.72723	3.0276	9.08265e-08	-9.08265e-08
7.63631	3.02758	8.995500000000001e-08	-8.995500000000001e-08
7.5454	3.02756	8.904459999999999e-08	-8.904459999999999e-08
7.45449	3.02754	8.810750000000001e-08	-8.810750000000001e-08
7.36358	3.02752	8.71341e-08	-8.71341e-08
7.27268	3.02751	8.61495e-08	-8.61495e-08
7.18177	3.02749	8.52022e-08	-8.52022e-08
7.09086	3.02747	8.42711e-08	-8.42711e-08
6.99996	3.02746	8.33884e-08	-8.33884e-08
6.90905	3.02744	8.25611e-08	-8.25611e-08
6.81815	3.02743	8.176480000000001e-08	-8.176480000000001e-08
6.72724	3.02742	8.09921e-08	-8.09921e-08
6.63633	3.0274	8.02537e-08	-8.02537e-08
6.54543	3.02739	7.956709999999999e-08	-7.956709999999999e-08
6.45452	3.02738	7.893019999999999e-08	-7.893019999999999e-08
6.36361	3.02737	7.83251e-08	-7.83251e-08
6.27271	3.02736	7.78115e-08	-7.78115e-08
6.1818	3.02735	7.73664e-08	-7.73664e-08
6.09089	3.02735	7.689189999999999e-08	-7.689189999999999e-08
