Points:0	Points:1	abs_DELTA_V0	DELTA_V0
9.0	3.036	0.0	0.0
8.90909	3.036	0.0	0.0
8.81818	3.036	0.0	0.0
8.72727	3.036	0.0	0.0
8.63636	3.036	0.0	0.0
8.54545	3.036	0.0	0.0
8.45455	3.036	0.0	0.0
8.36364	3.036	0.0	0.0
8.27273	3.036	0.0	0.0
8.18182	3.036	0.0	0.0
8.09091	3.036	0.0	0.0
8.0	3.036	0.0	0.0
7.90909	3.036	0.0	0.0
7.81818	3.036	0.0	0.0
7.72727	3.036	0.0	0.0
7.63636	3.036	0.0	0.0
7.54545	3.036	0.0	0.0
7.45455	3.036	0.0	0.0
7.36364	3.036	0.0	0.0
7.27273	3.036	0.0	0.0
7.18182	3.036	0.0	0.0
7.09091	3.036	0.0	0.0
7.0	3.036	0.0	0.0
6.90909	3.036	0.0	0.0
6.81818	3.036	0.0	0.0
6.72727	3.036	0.0	0.0
6.63636	3.036	0.0	0.0
6.54545	3.036	0.0	0.0
6.45455	3.036	0.0	0.0
6.36364	3.036	0.0	0.0
6.27273	3.036	0.0	0.0
6.18182	3.036	0.0	0.0
6.09091	3.036	0.0	0.0
6.0	3.036	0.0	0.0
5.90909	3.036	0.0	0.0
5.81818	3.036	0.0	0.0
5.72727	3.036	0.0	0.0
5.63636	3.036	0.0	0.0
5.54545	3.036	0.0	0.0
5.45455	3.036	0.0	0.0
5.36364	3.036	0.0	0.0
5.27273	3.036	0.0	0.0
5.18182	3.036	0.0	0.0
5.09091	3.036	0.0	0.0
5.0	3.036	0.0	0.0
4.90909	3.036	0.0	0.0
4.81818	3.036	0.0	0.0
4.72727	3.036	0.0	0.0
4.63636	3.036	0.0	0.0
4.54545	3.036	0.0	0.0
4.45455	3.036	0.0	0.0
4.36364	3.036	0.0	0.0
4.27273	3.036	0.0	0.0
4.18182	3.036	0.0	0.0
4.09091	3.036	0.0	0.0
4.0	3.036	0.0	0.0
3.90909	3.036	0.0	0.0
3.81818	3.036	0.0	0.0
3.72727	3.036	0.0	0.0
3.63636	3.036	0.0	0.0
3.54545	3.036	0.0	0.0
3.45455	3.036	0.0	0.0
3.36364	3.036	0.0	0.0
3.27273	3.036	0.0	0.0
3.18182	3.036	0.0	0.0
3.09091	3.036	0.0	0.0
3.0	3.036	0.0	0.0
2.90909	3.036	0.0	0.0
2.81818	3.036	0.0	0.0
2.72727	3.036	0.0	0.0
2.63636	3.036	0.0	0.0
2.54545	3.036	0.0	0.0
2.45455	3.036	0.0	0.0
2.36364	3.036	0.0	0.0
2.27273	3.036	0.0	0.0
2.18182	3.036	0.0	0.0
2.09091	3.036	0.0	0.0
2.0	3.036	0.0	0.0
1.90909	3.036	0.0	0.0
1.81818	3.036	0.0	0.0
1.72727	3.036	0.0	0.0
1.63636	3.036	0.0	0.0
1.54545	3.036	0.0	0.0
1.45455	3.036	0.0	0.0
1.36364	3.036	0.0	0.0
1.27273	3.036	0.0	0.0
1.18182	3.036	0.0	0.0
1.09091	3.036	0.0	0.0
1.0	3.036	0.0	0.0
0.909091	3.036	0.0	0.0
0.818182	3.036	0.0	0.0
0.727273	3.036	0.0	0.0
0.636364	3.036	0.0	0.0
0.545455	3.036	0.0	0.0
0.454545	3.036	0.0	0.0
0.363636	3.036	0.0	0.0
0.272727	3.036	0.0	0.0
0.181818	3.036	0.0	0.0
0.0909091	3.036	0.0	0.0
0.0	3.036	0.0	0.0
9.0	3.032	5.551289999999999e-07	-5.551289999999999e-07
8.90909	3.032	3.30477e-07	-3.30477e-07
8.81818	3.032	2.560652e-07	-2.560652e-07
8.72727	3.032	3.9632229999999997e-07	-3.9632229999999997e-07
8.63636	3.032	4.1561500000000003e-07	-4.1561500000000003e-07
8.54545	3.032	4.27035e-07	-4.27035e-07
8.45455	3.032	3.56159e-07	-3.56159e-07
8.36364	3.032	2.6233599999999995e-07	-2.6233599999999995e-07
8.27273	3.032	1.897549999999999e-07	-1.897549999999999e-07
8.18182	3.032	1.8629000000000017e-07	-1.8629000000000017e-07
8.09091	3.032	2.4349e-07	-2.4349e-07
8.0	3.032	3.0571000000000016e-07	-3.0571000000000016e-07
7.90909	3.032	3.6136e-07	-3.6136e-07
7.81818	3.032	3.234299999999999e-07	-3.234299999999999e-07
7.72727	3.032	2.0302999999999999e-07	-2.0302999999999999e-07
7.63636	3.032	7.69400000000001e-08	-7.69400000000001e-08
7.54545	3.032	4.883000000000005e-08	4.883000000000005e-08
7.45455	3.032	8.000999999999993e-08	8.000999999999993e-08
7.36364	3.032	2.218999999999991e-08	2.218999999999991e-08
7.27273	3.032	3.5260000000000066e-08	-3.5260000000000066e-08
7.18182	3.032	8.979000000000012e-08	-8.979000000000012e-08
7.09091	3.032	6.877999999999996e-08	-6.877999999999996e-08
7.0	3.032	3.1600000000000045e-08	3.1600000000000045e-08
6.90909	3.032	1.350199999999999e-07	1.350199999999999e-07
6.81818	3.032	2.388799999999998e-07	2.388799999999998e-07
6.72727	3.032	2.8739899999999997e-07	2.8739899999999997e-07
6.63636	3.032	2.5682000000000005e-07	2.5682000000000005e-07
6.54545	3.032	2.1468400000000012e-07	2.1468400000000012e-07
6.45455	3.032	1.8548799999999995e-07	1.8548799999999995e-07
6.36364	3.032	1.9617799999999995e-07	1.9617799999999995e-07
6.27273	3.032	2.49366e-07	2.49366e-07
6.18182	3.032	3.1531499999999996e-07	3.1531499999999996e-07
6.09091	3.032	3.8452199999999995e-07	3.8452199999999995e-07
6.0	3.032	4.231940000000001e-07	4.231940000000001e-07
5.90909	3.032	4.2862099999999996e-07	4.2862099999999996e-07
5.81818	3.032	4.2877600000000005e-07	4.2877600000000005e-07
5.72727	3.032	4.31204e-07	4.31204e-07
5.63636	3.032	4.48505e-07	4.48505e-07
5.54545	3.032	4.85765e-07	4.85765e-07
5.45455	3.032	5.12693e-07	5.12693e-07
5.36364	3.032	5.2175e-07	5.2175e-07
