Points:0	Points:1	abs_DELTA_U0	DELTA_U0
9.0	3.036	0.0	0.0
8.90909	3.036	0.0	0.0
8.81818	3.036	0.0	0.0
8.72727	3.036	0.0	0.0
8.63636	3.036	0.0	0.0
8.54545	3.036	0.0	0.0
8.45455	3.036	0.0	0.0
8.36364	3.036	0.0	0.0
8.27273	3.036	0.0	0.0
8.18182	3.036	0.0	0.0
8.09091	3.036	0.0	0.0
8.0	3.036	0.0	0.0
7.90909	3.036	0.0	0.0
7.81818	3.036	0.0	0.0
7.72727	3.036	0.0	0.0
7.63636	3.036	0.0	0.0
7.54545	3.036	0.0	0.0
7.45455	3.036	0.0	0.0
7.36364	3.036	0.0	0.0
7.27273	3.036	0.0	0.0
7.18182	3.036	0.0	0.0
7.09091	3.036	0.0	0.0
7.0	3.036	0.0	0.0
6.90909	3.036	0.0	0.0
6.81818	3.036	0.0	0.0
6.72727	3.036	0.0	0.0
6.63636	3.036	0.0	0.0
6.54545	3.036	0.0	0.0
6.45455	3.036	0.0	0.0
6.36364	3.036	0.0	0.0
6.27273	3.036	0.0	0.0
6.18182	3.036	0.0	0.0
6.09091	3.036	0.0	0.0
6.0	3.036	0.0	0.0
5.90909	3.036	0.0	0.0
5.81818	3.036	0.0	0.0
5.72727	3.036	0.0	0.0
5.63636	3.036	0.0	0.0
5.54545	3.036	0.0	0.0
5.45455	3.036	0.0	0.0
5.36364	3.036	0.0	0.0
5.27273	3.036	0.0	0.0
5.18182	3.036	0.0	0.0
5.09091	3.036	0.0	0.0
5.0	3.036	0.0	0.0
4.90909	3.036	0.0	0.0
4.81818	3.036	0.0	0.0
4.72727	3.036	0.0	0.0
4.63636	3.036	0.0	0.0
4.54545	3.036	0.0	0.0
4.45455	3.036	0.0	0.0
4.36364	3.036	0.0	0.0
4.27273	3.036	0.0	0.0
4.18182	3.036	0.0	0.0
4.09091	3.036	0.0	0.0
4.0	3.036	0.0	0.0
3.90909	3.036	0.0	0.0
3.81818	3.036	0.0	0.0
3.72727	3.036	0.0	0.0
3.63636	3.036	0.0	0.0
3.54545	3.036	0.0	0.0
3.45455	3.036	0.0	0.0
3.36364	3.036	0.0	0.0
3.27273	3.036	0.0	0.0
3.18182	3.036	0.0	0.0
3.09091	3.036	0.0	0.0
3.0	3.036	0.0	0.0
2.90909	3.036	0.0	0.0
2.81818	3.036	0.0	0.0
2.72727	3.036	0.0	0.0
2.63636	3.036	0.0	0.0
2.54545	3.036	0.0	0.0
2.45455	3.036	0.0	0.0
2.36364	3.036	0.0	0.0
2.27273	3.036	0.0	0.0
2.18182	3.036	0.0	0.0
2.09091	3.036	0.0	0.0
2.0	3.036	0.0	0.0
1.90909	3.036	0.0	0.0
1.81818	3.036	0.0	0.0
1.72727	3.036	0.0	0.0
1.63636	3.036	0.0	0.0
1.54545	3.036	0.0	0.0
1.45455	3.036	0.0	0.0
1.36364	3.036	0.0	0.0
1.27273	3.036	0.0	0.0
1.18182	3.036	0.0	0.0
1.09091	3.036	0.0	0.0
1.0	3.036	0.0	0.0
0.909091	3.036	0.0	0.0
0.818182	3.036	0.0	0.0
0.727273	3.036	0.0	0.0
0.636364	3.036	0.0	0.0
0.545455	3.036	0.0	0.0
0.454545	3.036	0.0	0.0
0.363636	3.036	0.0	0.0
0.272727	3.036	0.0	0.0
0.181818	3.036	0.0	0.0
0.0909091	3.036	0.0	0.0
0.0	3.036	0.0	0.0
9.0	3.032	2.4979999999999968e-05	2.4979999999999968e-05
8.90909	3.032	3.472000000000024e-05	3.472000000000024e-05
8.81818	3.032	4.573999999999984e-05	4.573999999999984e-05
8.72727	3.032	5.454000000000006e-05	5.454000000000006e-05
8.63636	3.032	6.53400000000001e-05	6.53400000000001e-05
8.54545	3.032	7.33499999999998e-05	7.33499999999998e-05
8.45455	3.032	8.19000000000002e-05	8.19000000000002e-05
8.36364	3.032	8.883999999999975e-05	8.883999999999975e-05
8.27273	3.032	9.500999999999997e-05	9.500999999999997e-05
8.18182	3.032	0.00010054000000000009	0.00010054000000000009
8.09091	3.032	0.00010508999999999996	0.00010508999999999996
8.0	3.032	0.00010882999999999986	0.00010882999999999986
7.90909	3.032	0.00011192000000000016	0.00011192000000000016
7.81818	3.032	0.00011428999999999996	0.00011428999999999996
7.72727	3.032	0.00011590000000000038	0.00011590000000000038
7.63636	3.032	0.00011678999999999986	0.00011678999999999986
7.54545	3.032	0.00011685000000000037	0.00011685000000000037
7.45455	3.032	0.00011466999999999988	0.00011466999999999988
7.36364	3.032	0.0001119300000000001	0.0001119300000000001
7.27273	3.032	0.0001102000000000004	0.0001102000000000004
7.18182	3.032	0.00010794999999999989	0.00010794999999999989
7.09091	3.032	0.00010525999999999982	0.00010525999999999982
7.0	3.032	0.00010078999999999991	0.00010078999999999991
6.90909	3.032	9.59600000000004e-05	9.59600000000004e-05
6.81818	3.032	9.206000000000015e-05	9.206000000000015e-05
6.72727	3.032	8.757000000000036e-05	8.757000000000036e-05
6.63636	3.032	8.106999999999993e-05	8.106999999999993e-05
6.54545	3.032	7.381000000000011e-05	7.381000000000011e-05
6.45455	3.032	6.592000000000013e-05	6.592000000000013e-05
6.36364	3.032	5.723000000000013e-05	5.723000000000013e-05
6.27273	3.032	4.7909999999999967e-05	4.7909999999999967e-05
6.18182	3.032	3.819000000000001e-05	3.819000000000001e-05
6.09091	3.032	2.7729999999999682e-05	2.7729999999999682e-05
6.0	3.032	1.5189999999999995e-05	1.5189999999999995e-05
5.90909	3.032	3.0199999999998457e-06	3.0199999999998457e-06
5.81818	3.032	1.031999999999986e-05	-1.031999999999986e-05
5.72727	3.032	2.595000000000028e-05	-2.595000000000028e-05
5.63636	3.032	4.2420000000000044e-05	-4.2420000000000044e-05
5.54545	3.032	5.861000000000017e-05	-5.861000000000017e-05
5.45455	3.032	7.562999999999971e-05	-7.562999999999971e-05
