Points:0	Points:1	abs_DELTA_R0	DELTA_R0
9.0	3.036	5.574689993333329e-07	5.574689993333329e-07
8.90909	3.036	5.574769993333329e-07	5.574769993333329e-07
8.81818	3.036	5.57368999333333e-07	5.57368999333333e-07
8.72727	3.036	5.57092999333333e-07	5.57092999333333e-07
8.63636	3.036	5.56937999333333e-07	5.56937999333333e-07
8.54545	3.036	5.57098999333333e-07	5.57098999333333e-07
8.45455	3.036	5.572969993333329e-07	5.572969993333329e-07
8.36364	3.036	5.57423999333333e-07	5.57423999333333e-07
8.27273	3.036	5.57624999333333e-07	5.57624999333333e-07
8.18182	3.036	5.57738999333333e-07	5.57738999333333e-07
8.09091	3.036	5.57616999333333e-07	5.57616999333333e-07
8.0	3.036	5.57447999333333e-07	5.57447999333333e-07
7.90909	3.036	5.57475999333333e-07	5.57475999333333e-07
7.81818	3.036	5.57624999333333e-07	5.57624999333333e-07
7.72727	3.036	5.57734999333333e-07	5.57734999333333e-07
7.63636	3.036	5.58071999333333e-07	5.58071999333333e-07
7.54545	3.036	5.589809993333329e-07	5.589809993333329e-07
7.45455	3.036	5.60651999333333e-07	5.60651999333333e-07
7.36364	3.036	5.62799999333333e-07	5.62799999333333e-07
7.27273	3.036	5.649569993333329e-07	5.649569993333329e-07
7.18182	3.036	5.67177999333333e-07	5.67177999333333e-07
7.09091	3.036	5.69541999333333e-07	5.69541999333333e-07
7.0	3.036	5.72495999333333e-07	5.72495999333333e-07
6.90909	3.036	5.76577999333333e-07	5.76577999333333e-07
6.81818	3.036	5.81501999333333e-07	5.81501999333333e-07
6.72727	3.036	5.865549993333329e-07	5.865549993333329e-07
6.63636	3.036	5.91183999333333e-07	5.91183999333333e-07
6.54545	3.036	5.95513999333333e-07	5.95513999333333e-07
6.45455	3.036	6.00032999333333e-07	6.00032999333333e-07
6.36364	3.036	6.04416999333333e-07	6.04416999333333e-07
6.27273	3.036	6.08760999333333e-07	6.08760999333333e-07
6.18182	3.036	6.13605999333333e-07	6.13605999333333e-07
6.09091	3.036	6.18854999333333e-07	6.18854999333333e-07
6.0	3.036	6.24530999333333e-07	6.24530999333333e-07
5.90909	3.036	6.30180999333333e-07	6.30180999333333e-07
5.81818	3.036	6.35689999333333e-07	6.35689999333333e-07
5.72727	3.036	6.40564999333333e-07	6.40564999333333e-07
5.63636	3.036	6.443859993333329e-07	6.443859993333329e-07
5.54545	3.036	6.48126999333333e-07	6.48126999333333e-07
5.45455	3.036	6.525369993333329e-07	6.525369993333329e-07
5.36364	3.036	6.574429993333329e-07	6.574429993333329e-07
5.27273	3.036	6.62994999333333e-07	6.62994999333333e-07
5.18182	3.036	6.67879999333333e-07	6.67879999333333e-07
5.09091	3.036	6.70995999333333e-07	6.70995999333333e-07
5.0	3.036	6.73562999333333e-07	6.73562999333333e-07
4.90909	3.036	6.75242999333333e-07	6.75242999333333e-07
4.81818	3.036	6.74933999333333e-07	6.74933999333333e-07
4.72727	3.036	6.73312999333333e-07	6.73312999333333e-07
4.63636	3.036	6.71767999333333e-07	6.71767999333333e-07
4.54545	3.036	6.69899999333333e-07	6.69899999333333e-07
4.45455	3.036	6.66181999333333e-07	6.66181999333333e-07
4.36364	3.036	6.60753999333333e-07	6.60753999333333e-07
4.27273	3.036	6.55448999333333e-07	6.55448999333333e-07
4.18182	3.036	6.50688999333333e-07	6.50688999333333e-07
4.09091	3.036	6.45752999333333e-07	6.45752999333333e-07
4.0	3.036	6.40840999333333e-07	6.40840999333333e-07
3.90909	3.036	6.36382999333333e-07	6.36382999333333e-07
3.81818	3.036	6.31912999333333e-07	6.31912999333333e-07
3.72727	3.036	6.27041999333333e-07	6.27041999333333e-07
3.63636	3.036	6.220159993333329e-07	6.220159993333329e-07
3.54545	3.036	6.16790999333333e-07	6.16790999333333e-07
3.45455	3.036	6.11446999333333e-07	6.11446999333333e-07
3.36364	3.036	6.062059993333329e-07	6.062059993333329e-07
3.27273	3.036	6.011119993333329e-07	6.011119993333329e-07
3.18182	3.036	5.96104999333333e-07	5.96104999333333e-07
3.09091	3.036	5.91229999333333e-07	5.91229999333333e-07
3.0	3.036	5.87017999333333e-07	5.87017999333333e-07
2.90909	3.036	5.837399993333329e-07	5.837399993333329e-07
2.81818	3.036	5.80694999333333e-07	5.80694999333333e-07
2.72727	3.036	5.77461999333333e-07	5.77461999333333e-07
2.63636	3.036	5.74336999333333e-07	5.74336999333333e-07
2.54545	3.036	5.71376999333333e-07	5.71376999333333e-07
2.45455	3.036	5.68731999333333e-07	5.68731999333333e-07
2.36364	3.036	5.66585999333333e-07	5.66585999333333e-07
2.27273	3.036	5.64797999333333e-07	5.64797999333333e-07
2.18182	3.036	5.62989999333333e-07	5.62989999333333e-07
2.09091	3.036	5.610019993333329e-07	5.610019993333329e-07
2.0	3.036	5.59071999333333e-07	5.59071999333333e-07
1.90909	3.036	5.57271999333333e-07	5.57271999333333e-07
1.81818	3.036	5.55573999333333e-07	5.55573999333333e-07
1.72727	3.036	5.53852999333333e-07	5.53852999333333e-07
1.63636	3.036	5.52096999333333e-07	5.52096999333333e-07
1.54545	3.036	5.506759993333329e-07	5.506759993333329e-07
1.45455	3.036	5.49602999333333e-07	5.49602999333333e-07
1.36364	3.036	5.49016999333333e-07	5.49016999333333e-07
1.27273	3.036	5.49295999333333e-07	5.49295999333333e-07
1.18182	3.036	5.50122999333333e-07	5.50122999333333e-07
1.09091	3.036	5.50920999333333e-07	5.50920999333333e-07
1.0	3.036	5.515239993333329e-07	5.515239993333329e-07
0.909091	3.036	5.52108999333333e-07	5.52108999333333e-07
0.818182	3.036	5.527319993333329e-07	5.527319993333329e-07
0.727273	3.036	5.533539993333329e-07	5.533539993333329e-07
0.636364	3.036	5.53941999333333e-07	5.53941999333333e-07
0.545455	3.036	5.54556999333333e-07	5.54556999333333e-07
0.454545	3.036	5.55226999333333e-07	5.55226999333333e-07
0.363636	3.036	5.55753999333333e-07	5.55753999333333e-07
0.272727	3.036	5.563029993333329e-07	5.563029993333329e-07
0.181818	3.036	5.57021999333333e-07	5.57021999333333e-07
0.0909091	3.036	5.57444999333333e-07	5.57444999333333e-07
0.0	3.036	5.57490999333333e-07	5.57490999333333e-07
9.0	3.032	1.1137064000000002e-06	1.1137064000000002e-06
8.90909	3.032	1.1138314e-06	1.1138314e-06
8.81818	3.032	1.1137435e-06	1.1137435e-06
8.72727	3.032	1.1139604e-06	1.1139604e-06
