Points:0	Points:1	abs_DELTA_TAU2	DELTA_TAU2
9.0	3.036	1.99449999333333e-07	1.99449999333333e-07
8.90909	3.036	2.00945999333333e-07	2.00945999333333e-07
8.81818	3.036	2.03941999333333e-07	2.03941999333333e-07
8.72727	3.036	2.06941999333333e-07	2.06941999333333e-07
8.63636	3.036	2.1003199933333302e-07	2.1003199933333302e-07
8.54545	3.036	2.13227999333333e-07	2.13227999333333e-07
8.45455	3.036	2.16469999333333e-07	2.16469999333333e-07
8.36364	3.036	2.19768999333333e-07	2.19768999333333e-07
8.27273	3.036	2.23049999333333e-07	2.23049999333333e-07
8.18182	3.036	2.2616399933333302e-07	2.2616399933333302e-07
8.09091	3.036	2.29091999333333e-07	2.29091999333333e-07
8.0	3.036	2.31954999333333e-07	2.31954999333333e-07
7.90909	3.036	2.3479799933333301e-07	2.3479799933333301e-07
7.81818	3.036	2.37490999333333e-07	2.37490999333333e-07
7.72727	3.036	2.40037999333333e-07	2.40037999333333e-07
7.63636	3.036	2.4238999933333297e-07	2.4238999933333297e-07
7.54545	3.036	2.44632999333333e-07	2.44632999333333e-07
7.45455	3.036	2.47167999333333e-07	2.47167999333333e-07
7.36364	3.036	2.49906999333333e-07	2.49906999333333e-07
7.27273	3.036	2.52455999333333e-07	2.52455999333333e-07
7.18182	3.036	2.5482499933333296e-07	2.5482499933333296e-07
7.09091	3.036	2.5735299933333297e-07	2.5735299933333297e-07
7.0	3.036	2.6021199933333295e-07	2.6021199933333295e-07
6.90909	3.036	2.63179999333333e-07	2.63179999333333e-07
6.81818	3.036	2.66029999333333e-07	2.66029999333333e-07
6.72727	3.036	2.68783999333333e-07	2.68783999333333e-07
6.63636	3.036	2.71618999333333e-07	2.71618999333333e-07
6.54545	3.036	2.7453699933333297e-07	2.7453699933333297e-07
6.45455	3.036	2.7759599933333297e-07	2.7759599933333297e-07
6.36364	3.036	2.80591999333333e-07	2.80591999333333e-07
6.27273	3.036	2.83255999333333e-07	2.83255999333333e-07
6.18182	3.036	2.85984999333333e-07	2.85984999333333e-07
6.09091	3.036	2.88677999333333e-07	2.88677999333333e-07
6.0	3.036	2.9091899933333296e-07	2.9091899933333296e-07
5.90909	3.036	2.92971999333333e-07	2.92971999333333e-07
5.81818	3.036	2.94946999333333e-07	2.94946999333333e-07
5.72727	3.036	2.96419999333333e-07	2.96419999333333e-07
5.63636	3.036	2.97647999333333e-07	2.97647999333333e-07
5.54545	3.036	2.98675999333333e-07	2.98675999333333e-07
5.45455	3.036	2.99279999333333e-07	2.99279999333333e-07
5.36364	3.036	2.99877999333333e-07	2.99877999333333e-07
5.27273	3.036	3.0075199933333297e-07	3.0075199933333297e-07
5.18182	3.036	3.01379999333333e-07	3.01379999333333e-07
5.09091	3.036	3.00894999333333e-07	3.00894999333333e-07
5.0	3.036	2.99401999333333e-07	2.99401999333333e-07
4.90909	3.036	2.97113999333333e-07	2.97113999333333e-07
4.81818	3.036	2.9414499933333297e-07	2.9414499933333297e-07
4.72727	3.036	2.9090899933333295e-07	2.9090899933333295e-07
4.63636	3.036	2.8746899933333297e-07	2.8746899933333297e-07
4.54545	3.036	2.8385899933333295e-07	2.8385899933333295e-07
4.45455	3.036	2.79575999333333e-07	2.79575999333333e-07
4.36364	3.036	2.74138999333333e-07	2.74138999333333e-07
4.27273	3.036	2.68198999333333e-07	2.68198999333333e-07
4.18182	3.036	2.6236799933333296e-07	2.6236799933333296e-07
4.09091	3.036	2.56532999333333e-07	2.56532999333333e-07
4.0	3.036	2.50167999333333e-07	2.50167999333333e-07
3.90909	3.036	2.4351599933333297e-07	2.4351599933333297e-07
3.81818	3.036	2.37306999333333e-07	2.37306999333333e-07
3.72727	3.036	2.31842999333333e-07	2.31842999333333e-07
3.63636	3.036	2.26852999333333e-07	2.26852999333333e-07
3.54545	3.036	2.21794999333333e-07	2.21794999333333e-07
3.45455	3.036	2.16805999333333e-07	2.16805999333333e-07
3.36364	3.036	2.12007999333333e-07	2.12007999333333e-07
3.27273	3.036	2.07235999333333e-07	2.07235999333333e-07
3.18182	3.036	2.02637999333333e-07	2.02637999333333e-07
3.09091	3.036	1.98329999333333e-07	1.98329999333333e-07
3.0	3.036	1.94378999333333e-07	1.94378999333333e-07
2.90909	3.036	1.91081999333333e-07	1.91081999333333e-07
2.81818	3.036	1.88377999333333e-07	1.88377999333333e-07
2.72727	3.036	1.85665999333333e-07	1.85665999333333e-07
2.63636	3.036	1.82747999333333e-07	1.82747999333333e-07
2.54545	3.036	1.79880999333333e-07	1.79880999333333e-07
2.45455	3.036	1.7716299933333301e-07	1.7716299933333301e-07
2.36364	3.036	1.74817999333333e-07	1.74817999333333e-07
2.27273	3.036	1.73089999333333e-07	1.73089999333333e-07
2.18182	3.036	1.71697999333333e-07	1.71697999333333e-07
2.09091	3.036	1.70396999333333e-07	1.70396999333333e-07
2.0	3.036	1.69394999333333e-07	1.69394999333333e-07
1.90909	3.036	1.68844999333333e-07	1.68844999333333e-07
1.81818	3.036	1.68547999333333e-07	1.68547999333333e-07
1.72727	3.036	1.6838799933333302e-07	1.6838799933333302e-07
1.63636	3.036	1.68435999333333e-07	1.68435999333333e-07
1.54545	3.036	1.68768999333333e-07	1.68768999333333e-07
1.45455	3.036	1.69197999333333e-07	1.69197999333333e-07
