Points:0	Points:1	abs_DELTA_TAU1	DELTA_TAU1
9.0	3.036	5.36081333333e-10	5.36081333333e-10
8.90909	3.036	5.41487333333e-10	5.41487333333e-10
8.81818	3.036	5.53430333333e-10	5.53430333333e-10
8.72727	3.036	5.66093333333e-10	5.66093333333e-10
8.63636	3.036	5.79742333333e-10	5.79742333333e-10
8.54545	3.036	5.95207333333e-10	5.95207333333e-10
8.45455	3.036	6.12506333333e-10	6.12506333333e-10
8.36364	3.036	6.30712333333e-10	6.30712333333e-10
8.27273	3.036	6.48937333333e-10	6.48937333333e-10
8.18182	3.036	6.67484333333e-10	6.67484333333e-10
8.09091	3.036	6.85977333333e-10	6.85977333333e-10
8.0	3.036	7.05871333333e-10	7.05871333333e-10
7.90909	3.036	7.27318333333e-10	7.27318333333e-10
7.81818	3.036	7.48919333333e-10	7.48919333333e-10
7.72727	3.036	7.70220333333e-10	7.70220333333e-10
7.63636	3.036	7.92368333333e-10	7.92368333333e-10
7.54545	3.036	8.15809333333e-10	8.15809333333e-10
7.45455	3.036	8.40284333333e-10	8.40284333333e-10
7.36364	3.036	8.66359333333e-10	8.66359333333e-10
7.27273	3.036	8.92076333333e-10	8.92076333333e-10
7.18182	3.036	9.16973333333e-10	9.16973333333e-10
7.09091	3.036	9.422383333329998e-10	9.422383333329998e-10
7.0	3.036	9.685553333329999e-10	9.685553333329999e-10
6.90909	3.036	9.94870333333e-10	9.94870333333e-10
6.81818	3.036	1.020969333333e-09	1.020969333333e-09
6.72727	3.036	1.047239333333e-09	1.047239333333e-09
6.63636	3.036	1.074749333333e-09	1.074749333333e-09
6.54545	3.036	1.102309333333e-09	1.102309333333e-09
6.45455	3.036	1.129789333333e-09	1.129789333333e-09
6.36364	3.036	1.1572493333329998e-09	1.1572493333329998e-09
6.27273	3.036	1.1806593333329998e-09	1.1806593333329998e-09
6.18182	3.036	1.203889333333e-09	1.203889333333e-09
6.09091	3.036	1.231509333333e-09	1.231509333333e-09
6.0	3.036	1.260509333333e-09	1.260509333333e-09
5.90909	3.036	1.2880093333329999e-09	1.2880093333329999e-09
5.81818	3.036	1.3169593333329999e-09	1.3169593333329999e-09
5.72727	3.036	1.3425793333329998e-09	1.3425793333329998e-09
5.63636	3.036	1.3621293333329998e-09	1.3621293333329998e-09
5.54545	3.036	1.378129333333e-09	1.378129333333e-09
5.45455	3.036	1.388999333333e-09	1.388999333333e-09
5.36364	3.036	1.397019333333e-09	1.397019333333e-09
5.27273	3.036	1.409099333333e-09	1.409099333333e-09
5.18182	3.036	1.426049333333e-09	1.426049333333e-09
5.09091	3.036	1.434949333333e-09	1.434949333333e-09
5.0	3.036	1.434289333333e-09	1.434289333333e-09
4.90909	3.036	1.4262293333329998e-09	1.4262293333329998e-09
4.81818	3.036	1.4081793333329999e-09	1.4081793333329999e-09
4.72727	3.036	1.3878993333329998e-09	1.3878993333329998e-09
4.63636	3.036	1.366599333333e-09	1.366599333333e-09
4.54545	3.036	1.3410093333329998e-09	1.3410093333329998e-09
4.45455	3.036	1.3112693333329999e-09	1.3112693333329999e-09
4.36364	3.036	1.2747193333329998e-09	1.2747193333329998e-09
4.27273	3.036	1.2379093333329998e-09	1.2379093333329998e-09
4.18182	3.036	1.2063093333329998e-09	1.2063093333329998e-09
4.09091	3.036	1.1733793333329998e-09	1.1733793333329998e-09
4.0	3.036	1.1343993333329998e-09	1.1343993333329998e-09
3.90909	3.036	1.088879333333e-09	1.088879333333e-09
3.81818	3.036	1.0410193333329999e-09	1.0410193333329999e-09
3.72727	3.036	9.97851333333e-10	9.97851333333e-10
3.63636	3.036	9.63032333333e-10	9.63032333333e-10
3.54545	3.036	9.28718333333e-10	9.28718333333e-10
3.45455	3.036	8.91238333333e-10	8.91238333333e-10
3.36364	3.036	8.570963333330001e-10	8.570963333330001e-10
3.27273	3.036	8.21795333333e-10	8.21795333333e-10
3.18182	3.036	7.83949333333e-10	7.83949333333e-10
3.09091	3.036	7.488963333330001e-10	7.488963333330001e-10
3.0	3.036	7.158473333330001e-10	7.158473333330001e-10
2.90909	3.036	6.86714333333e-10	6.86714333333e-10
2.81818	3.036	6.626573333330001e-10	6.626573333330001e-10
2.72727	3.036	6.40968333333e-10	6.40968333333e-10
2.63636	3.036	6.20914333333e-10	6.20914333333e-10
2.54545	3.036	5.99891333333e-10	5.99891333333e-10
2.45455	3.036	5.76146333333e-10	5.76146333333e-10
2.36364	3.036	5.55388333333e-10	5.55388333333e-10
2.27273	3.036	5.41278333333e-10	5.41278333333e-10
2.18182	3.036	5.30438333333e-10	5.30438333333e-10
2.09091	3.036	5.18333333333e-10	5.18333333333e-10
2.0	3.036	5.06978333333e-10	5.06978333333e-10
1.90909	3.036	4.98666333333e-10	4.98666333333e-10
1.81818	3.036	4.915043333330001e-10	4.915043333330001e-10
1.72727	3.036	4.85907333333e-10	4.85907333333e-10
1.63636	3.036	4.79615333333e-10	4.79615333333e-10
1.54545	3.036	4.72354333333e-10	4.72354333333e-10
1.45455	3.036	4.66161333333e-10	4.66161333333e-10
1.36364	3.036	4.60246333333e-10	4.60246333333e-10
1.27273	3.036	4.56388333333e-10	4.56388333333e-10
1.18182	3.036	4.56284333333e-10	4.56284333333e-10
1.09091	3.036	4.57033333333e-10	4.57033333333e-10
1.0	3.036	4.56574333333e-10	4.56574333333e-10
0.909091	3.036	4.57061333333e-10	4.57061333333e-10
0.818182	3.036	4.58840333333e-10	4.58840333333e-10
0.727273	3.036	4.6053633333300003e-10	4.6053633333300003e-10
0.636364	3.036	4.6432733333300003e-10	4.6432733333300003e-10
0.545455	3.036	4.708573333330001e-10	4.708573333330001e-10
0.454545	3.036	4.78372333333e-10	4.78372333333e-10
0.363636	3.036	4.87524333333e-10	4.87524333333e-10
0.272727	3.036	4.99400333333e-10	4.99400333333e-10
0.181818	3.036	5.11583333333e-10	5.11583333333e-10
0.0909091	3.036	5.21325333333e-10	5.21325333333e-10
0.0	3.036	5.255293333330001e-10	5.255293333330001e-10
9.0	3.032	3.5972379999999995e-08	-3.5972379999999995e-08
8.90909	3.032	3.6730839999999995e-08	-3.6730839999999995e-08
8.81818	3.032	3.833808e-08	-3.833808e-08
8.72727	3.032	4.004986e-08	-4.004986e-08
8.63636	3.032	4.181898e-08	-4.181898e-08
8.54545	3.032	4.366485e-08	-4.366485e-08
8.45455	3.032	4.556042e-08	-4.556042e-08
8.36364	3.032	4.750256e-08	-4.750256e-08
8.27273	3.032	4.9497480000000004e-08	-4.9497480000000004e-08
8.18182	3.032	5.1554339999999995e-08	-5.1554339999999995e-08
8.09091	3.032	5.3674519999999995e-08	-5.3674519999999995e-08
8.0	3.032	5.584954e-08	-5.584954e-08
7.90909	3.032	5.807999e-08	-5.807999e-08
7.81818	3.032	6.035411e-08	-6.035411e-08
7.72727	3.032	6.267325e-08	-6.267325e-08
7.63636	3.032	6.503383e-08	-6.503383e-08
7.54545	3.032	6.742182e-08	-6.742182e-08
7.45455	3.032	6.983894e-08	-6.983894e-08
7.36364	3.032	7.227321000000001e-08	-7.227321000000001e-08
7.27273	3.032	7.472093e-08	-7.472093e-08
7.18182	3.032	7.71995e-08	-7.71995e-08
7.09091	3.032	7.970907e-08	-7.970907e-08
7.0	3.032	8.226152e-08	-8.226152e-08
6.90909	3.032	8.48397e-08	-8.48397e-08
6.81818	3.032	8.743072e-08	-8.743072e-08
6.72727	3.032	9.005371e-08	-9.005371e-08
6.63636	3.032	9.271704999999999e-08	-9.271704999999999e-08
6.54545	3.032	9.540143e-08	-9.540143e-08
6.45455	3.032	9.810485e-08	-9.810485e-08
6.36364	3.032	1.0082233000000001e-07	-1.0082233000000001e-07
6.27273	3.032	1.0356535e-07	-1.0356535e-07
6.18182	3.032	1.0632449e-07	-1.0632449e-07
6.09091	3.032	1.0908709e-07	-1.0908709e-07
6.0	3.032	1.1187944e-07	-1.1187944e-07
5.90909	3.032	1.1465941e-07	-1.1465941e-07
5.81818	3.032	1.1743675e-07	-1.1743675e-07
5.72727	3.032	1.2023887999999998e-07	-1.2023887999999998e-07
5.63636	3.032	1.2304570999999998e-07	-1.2304570999999998e-07
5.54545	3.032	1.2582005000000002e-07	-1.2582005000000002e-07
5.45455	3.032	1.2858232999999999e-07	-1.2858232999999999e-07
5.36364	3.032	1.3133961e-07	-1.3133961e-07
5.27273	3.032	1.3404516e-07	-1.3404516e-07
5.18182	3.032	1.3670087e-07	-1.3670087e-07
5.09091	3.032	1.3932528e-07	-1.3932528e-07
5.0	3.032	1.419135e-07	-1.419135e-07
4.90909	3.032	1.4444865e-07	-1.4444865e-07
4.81818	3.032	1.4692417e-07	-1.4692417e-07
4.72727	3.032	1.4931271000000002e-07	-1.4931271000000002e-07
4.63636	3.032	1.5159458e-07	-1.5159458e-07
4.54545	3.032	1.5375956e-07	-1.5375956e-07
4.45455	3.032	1.5579581e-07	-1.5579581e-07
4.36364	3.032	1.5769064e-07	-1.5769064e-07
4.27273	3.032	1.5941232e-07	-1.5941232e-07
4.18182	3.032	1.6092802000000002e-07	-1.6092802000000002e-07
4.09091	3.032	1.6222679e-07	-1.6222679e-07
4.0	3.032	1.6330212999999998e-07	-1.6330212999999998e-07
3.90909	3.032	1.6413705e-07	-1.6413705e-07
3.81818	3.032	1.6469942999999998e-07	-1.6469942999999998e-07
3.72727	3.032	1.6490486e-07	-1.6490486e-07
3.63636	3.032	1.6464227e-07	-1.6464227e-07
3.54545	3.032	1.6386976e-07	-1.6386976e-07
3.45455	3.032	1.6247792e-07	-1.6247792e-07
3.36364	3.032	1.6031746e-07	-1.6031746e-07
3.27273	3.032	1.5729218e-07	-1.5729218e-07
3.18182	3.032	1.53276e-07	-1.53276e-07
3.09091	3.032	1.4816843e-07	-1.4816843e-07
3.0	3.032	1.4191291e-07	-1.4191291e-07
2.90909	3.032	1.3450632999999998e-07	-1.3450632999999998e-07
2.81818	3.032	1.2606186e-07	-1.2606186e-07
2.72727	3.032	1.1675831e-07	-1.1675831e-07
2.63636	3.032	1.0688118e-07	-1.0688118e-07
2.54545	3.032	9.677834e-08	-9.677834e-08
2.45455	3.032	8.681131999999999e-08	-8.681131999999999e-08
2.36364	3.032	7.729601e-08	-7.729601e-08
2.27273	3.032	6.84824e-08	-6.84824e-08
2.18182	3.032	6.056064e-08	-6.056064e-08
2.09091	3.032	5.3605360000000005e-08	-5.3605360000000005e-08
2.0	3.032	4.7632680000000004e-08	-4.7632680000000004e-08
1.90909	3.032	4.2613299999999996e-08	-4.2613299999999996e-08
1.81818	3.032	3.8489920000000004e-08	-3.8489920000000004e-08
1.72727	3.032	3.517147e-08	-3.517147e-08
1.63636	3.032	3.255678e-08	-3.255678e-08
1.54545	3.032	3.054471e-08	-3.054471e-08
1.45455	3.032	2.9013662000000002e-08	-2.9013662000000002e-08
1.36364	3.032	2.7868759e-08	-2.7868759e-08
1.27273	3.032	2.7043231e-08	-2.7043231e-08
1.18182	3.032	2.6486386999999997e-08	-2.6486386999999997e-08
1.09091	3.032	2.6167392999999998e-08	-2.6167392999999998e-08
1.0	3.032	2.6062275e-08	-2.6062275e-08
0.909091	3.032	2.6144823999999997e-08	-2.6144823999999997e-08
0.818182	3.032	2.6399038e-08	-2.6399038e-08
0.727273	3.032	2.6816233e-08	-2.6816233e-08
0.636364	3.032	2.7384181e-08	-2.7384181e-08
0.545455	3.032	2.8097678999999998e-08	-2.8097678999999998e-08
0.454545	3.032	2.8952808e-08	-2.8952808e-08
0.363636	3.032	2.9947463e-08	-2.9947463e-08
0.272727	3.032	3.1069020000000005e-08	-3.1069020000000005e-08
0.181818	3.032	3.230609e-08	-3.230609e-08
0.0909091	3.032	3.3659020000000004e-08	-3.3659020000000004e-08
0.0	3.032	3.436331e-08	-3.436331e-08
9.0	3.02782	1.663456e-07	-1.663456e-07
8.90909	3.02782	1.697584e-07	-1.697584e-07
8.81818	3.02782	1.770967e-07	-1.770967e-07
8.72728	3.02781	1.851025e-07	-1.851025e-07
8.63637	3.02779	1.9354180000000002e-07	-1.9354180000000002e-07
8.54546	3.02777	2.024618e-07	-2.024618e-07
8.45455	3.02776	2.116972e-07	-2.116972e-07
8.36363	3.02774	2.2123390000000002e-07	-2.2123390000000002e-07
8.27271	3.02772	2.31081e-07	-2.31081e-07
8.1818	3.02769	2.412074e-07	-2.412074e-07
8.09088	3.02767	2.51622e-07	-2.51622e-07
7.99997	3.02765	2.623305e-07	-2.623305e-07
7.90905	3.02763	2.733715e-07	-2.733715e-07
7.81814	3.02761	2.846857e-07	-2.846857e-07
7.72723	3.0276	2.962555e-07	-2.962555e-07
7.63631	3.02758	3.08099e-07	-3.08099e-07
7.5454	3.02756	3.201446e-07	-3.201446e-07
7.45449	3.02754	3.323525e-07	-3.323525e-07
7.36358	3.02752	3.446921e-07	-3.446921e-07
7.27268	3.02751	3.571805e-07	-3.571805e-07
7.18177	3.02749	3.698512e-07	-3.698512e-07
7.09086	3.02747	3.826761e-07	-3.826761e-07
6.99996	3.02746	3.956624e-07	-3.956624e-07
6.90905	3.02744	4.087991e-07	-4.087991e-07
6.81815	3.02743	4.2207180000000004e-07	-4.2207180000000004e-07
6.72724	3.02742	4.354661e-07	-4.354661e-07
6.63633	3.0274	4.489647e-07	-4.489647e-07
6.54543	3.02739	4.625671e-07	-4.625671e-07
6.45452	3.02738	4.7624419999999997e-07	-4.7624419999999997e-07
6.36361	3.02737	4.899641e-07	-4.899641e-07
