(X,Y,Label)
(0.0480376,1.00514,0)
(0.0960754,1.00516,0)
(0.144093,1.00384,0)
(0.0,1.00576,0)
(0.0480363,1.00601,0)
(0.0960728,1.00603,0)
(0.144089,1.00472,0)
(0.191971,1.00098,0)
(0.0,1.00669,0)
(0.0480349,1.00694,0)
(0.09607,1.00696,0)
(0.144085,1.00565,0)
(0.191965,1.00191,0)
(0.239445,0.994729,0)
(2.53054,0.00997207,0)
(2.57857,0.00997207,0)
(2.62661,0.00997207,0)
(2.67464,0.00997207,0)
(2.72268,0.00997207,0)
(2.77071,0.00997207,0)
(2.81875,0.00997207,0)
(2.86679,0.00997207,0)
(2.91482,0.00997207,0)
(2.96286,0.00997207,0)
(3.01089,0.00997207,0)
(3.05893,0.00997207,0)
(3.10697,0.00997207,0)
(3.155,0.00997207,0)
(3.20304,0.00997207,0)
(3.25107,0.00997207,0)
(3.29911,0.00997207,0)
(3.34714,0.00997207,0)
(3.39518,0.00997207,0)
(3.44321,0.00997207,0)
(3.49125,0.00997207,0)
(3.53929,0.00997207,0)
(3.58732,0.00997207,0)
(3.63536,0.00997207,0)
(3.68339,0.00997207,0)
(3.73143,0.00997207,0)
(3.77947,0.00997207,0)
(3.8275,0.00997207,0)
(3.87554,0.00997207,0)
(3.92357,0.00997207,0)
(3.97161,0.00997207,0)
(4.01965,0.00997207,0)
(4.06768,0.00997207,0)
(4.11571,0.00997207,0)
(4.16375,0.00997207,0)
(4.21179,0.00997207,0)
(4.25982,0.00997207,0)
(4.30786,0.00997207,0)
(4.35589,0.00997207,0)
(4.40393,0.00997207,0)
(4.45197,0.00997207,0)
(4.5,0.00997207,0)
(4.54803,0.00997207,0)
(8.85592,1.00565,0)
(8.90393,1.00696,0)
(8.95197,1.00694,0)
(9.0,1.00669,0)
(0.0,1.00767,0)
(0.0480334,1.00792,0)
(0.0960671,1.00794,0)
(0.14408,1.00663,0)
(0.19196,1.00289,0)
(0.239438,0.995718,0)
(0.331246,0.968073,0)
(0.416163,0.923441,0)
(2.29043,0.0114384,0)
(2.33846,0.0114384,0)
(2.38649,0.0114384,0)
(2.43453,0.0114384,0)
(2.48256,0.0114384,0)
(2.5306,0.0114384,0)
(2.57863,0.0114384,0)
(2.62667,0.0114384,0)
(2.6747,0.0114384,0)
(2.72273,0.0114384,0)
(2.77077,0.0114384,0)
(2.8188,0.0114384,0)
(2.86684,0.0114384,0)
(2.91487,0.0114384,0)
(2.9629,0.0114384,0)
(3.01094,0.0114384,0)
(3.05897,0.0114384,0)
(3.10701,0.0114384,0)
(3.15504,0.0114384,0)
(3.20308,0.0114384,0)
(3.25111,0.0114384,0)
(3.29914,0.0114384,0)
(3.34718,0.0114384,0)
(3.39521,0.0114384,0)
(3.44325,0.0114384,0)
(3.49128,0.0114384,0)
(3.53932,0.0114384,0)
(3.58735,0.0114384,0)
(3.63539,0.0114384,0)
(3.68342,0.0114384,0)
(3.73145,0.0114384,0)
(3.77949,0.0114384,0)
(3.82752,0.0114384,0)
(3.87555,0.0114384,0)
(3.92359,0.0114384,0)
(3.97162,0.0114384,0)
(4.01966,0.0114384,0)
(4.06769,0.0114384,0)
(4.11573,0.0114384,0)
(4.16376,0.0114384,0)
(4.21179,0.0114384,0)
(4.25983,0.0114384,0)
(4.30787,0.0114384,0)
(4.3559,0.0114384,0)
(4.40393,0.0114384,0)
(4.45197,0.0114384,0)
(4.5,0.0114384,0)
(4.54803,0.0114384,0)
(4.59607,0.0114384,0)
(4.6441,0.0114384,0)
(4.69213,0.0114384,0)
(4.74017,0.0114384,0)
(4.78821,0.0114384,0)
(4.83624,0.0114384,0)
(4.88428,0.0114384,0)
(4.93231,0.0114384,0)
(4.98034,0.0114384,0)
(5.02838,0.0114384,0)
(5.07641,0.0114384,0)
(5.12445,0.0114384,0)
(5.17248,0.0114384,0)
(5.22051,0.0114384,0)
(8.76056,0.99572,0)
(8.80804,1.00289,0)
(8.85592,1.00663,0)
(8.90393,1.00794,0)
(8.95197,1.00792,0)
(9.0,1.00767,0)
(0.0,1.00871,0)
(0.0480319,1.00897,0)
(0.096064,1.00899,0)
(0.144076,1.00767,0)
(0.191953,1.00394,0)
(0.23943,0.996766,0)
(0.286054,0.985327,0)
(0.331238,0.969136,0)
(0.416157,0.924527,0)
(0.495193,0.870083,0)
(2.19443,0.0129927,0)
(2.24247,0.0129927,0)
(2.2905,0.0129927,0)
(2.33853,0.0129927,0)
(2.38656,0.0129927,0)
(2.4346,0.0129927,0)
(2.48263,0.0129927,0)
(2.53066,0.0129927,0)
(2.57869,0.0129927,0)
(2.62673,0.0129927,0)
(2.67476,0.0129927,0)
(2.72279,0.0129927,0)
(2.77082,0.0129927,0)
(2.81886,0.0129927,0)
(2.86689,0.0129927,0)
(2.91492,0.0129927,0)
(2.96295,0.0129927,0)
(3.01099,0.0129927,0)
(3.05902,0.0129927,0)
(3.10705,0.0129927,0)
(3.15509,0.0129927,0)
(3.20312,0.0129927,0)
(3.25115,0.0129927,0)
(3.29918,0.0129927,0)
(3.34722,0.0129927,0)
(3.39525,0.0129927,0)
(3.44328,0.0129927,0)
(3.49131,0.0129927,0)
(3.53935,0.0129927,0)
(3.58738,0.0129927,0)
(3.63542,0.0129927,0)
(3.68344,0.0129927,0)
(3.73148,0.0129927,0)
(3.77951,0.0129927,0)
(3.82754,0.0129927,0)
(3.87557,0.0129927,0)
(3.92361,0.0129927,0)
(3.97164,0.0129927,0)
(4.01968,0.0129927,0)
(4.06771,0.0129927,0)
(4.11574,0.0129927,0)
(4.16377,0.0129927,0)
(4.2118,0.0129927,0)
(4.25983,0.0129927,0)
(4.30787,0.0129927,0)
(4.3559,0.0129927,0)
(4.40393,0.0129927,0)
(4.45197,0.0129927,0)
(4.5,0.0129927,0)
(4.54803,0.0129927,0)
(4.59607,0.0129927,0)
(4.6441,0.0129927,0)
(4.69213,0.0129927,0)
(4.74017,0.0129927,0)
(4.7882,0.0129927,0)
(4.83623,0.0129927,0)
(4.88426,0.0129927,0)
(4.93229,0.0129927,0)
(4.98033,0.0129927,0)
(5.02836,0.0129927,0)
(5.07639,0.0129927,0)
(5.12443,0.0129927,0)
(5.17246,0.0129927,0)
(5.22049,0.0129927,0)
(5.26853,0.0129927,0)
(5.31656,0.0129927,0)
(5.36459,0.0129927,0)
(5.41262,0.0129927,0)
(5.46065,0.0129927,0)
(5.50868,0.0129927,0)
(5.55672,0.0129927,0)
(5.60475,0.0129927,0)
(5.65278,0.0129927,0)
(5.70082,0.0129927,0)
(5.74885,0.0129927,0)
(5.79688,0.0129927,0)
(5.84492,0.0129927,0)
(8.76057,0.996768,0)
(8.80805,1.00394,0)
(8.85592,1.00767,0)
(8.90393,1.00899,0)
(8.95197,1.00897,0)
(9.0,1.00871,0)
(0.0,1.00982,0)
(0.0480302,1.01007,0)
(0.0960607,1.01009,0)
(0.144071,1.00878,0)
(0.191947,1.00504,0)
(0.239422,0.997878,0)
(0.286046,0.986445,0)
(0.331229,0.970262,0)
(0.374559,0.949632,0)
(0.416151,0.925677,0)
(0.456262,0.899332,0)
(0.495193,0.871263,0)
(0.533202,0.84198,0)
(2.09845,0.0146402,0)
(2.14648,0.0146402,0)
(2.19451,0.0146402,0)
(2.24254,0.0146402,0)
(2.29057,0.0146402,0)
(2.3386,0.0146402,0)
(2.38664,0.0146402,0)
(2.43467,0.0146402,0)
(2.4827,0.0146402,0)
(2.53073,0.0146402,0)
(2.57876,0.0146402,0)
(2.62679,0.0146402,0)
(2.67482,0.0146402,0)
(2.72285,0.0146402,0)
(2.77088,0.0146402,0)
(2.81891,0.0146402,0)
(2.86695,0.0146402,0)
(2.91498,0.0146402,0)
(2.96301,0.0146402,0)
(3.01104,0.0146402,0)
(3.05907,0.0146402,0)
(3.1071,0.0146402,0)
(3.15513,0.0146402,0)
(3.20316,0.0146402,0)
(3.25119,0.0146402,0)
(3.29923,0.0146402,0)
(3.34726,0.0146402,0)
(3.39529,0.0146402,0)
(3.44332,0.0146402,0)
(3.49135,0.0146402,0)
(3.53938,0.0146402,0)
(3.58741,0.0146402,0)
(3.63544,0.0146402,0)
(3.68347,0.0146402,0)
(3.7315,0.0146402,0)
(3.77954,0.0146402,0)
(3.82757,0.0146402,0)
(3.8756,0.0146402,0)
(3.92363,0.0146402,0)
(3.97166,0.0146402,0)
(4.01969,0.0146402,0)
(4.06772,0.0146402,0)
(4.11575,0.0146402,0)
(4.16378,0.0146402,0)
(4.21181,0.0146402,0)
(4.25984,0.0146402,0)
(4.30788,0.0146402,0)
(4.35591,0.0146402,0)
(4.40394,0.0146402,0)
(4.45197,0.0146402,0)
(4.5,0.0146402,0)
(4.54803,0.0146402,0)
(4.59607,0.0146402,0)
(4.64409,0.0146402,0)
(4.69212,0.0146402,0)
(4.74016,0.0146402,0)
(4.78819,0.0146402,0)
(4.83622,0.0146402,0)
(4.88425,0.0146402,0)
(4.93228,0.0146402,0)
(4.98031,0.0146402,0)
(5.02834,0.0146402,0)
(5.07637,0.0146402,0)
(5.1244,0.0146402,0)
(5.17243,0.0146402,0)
(5.22046,0.0146402,0)
(5.2685,0.0146402,0)
(5.31653,0.0146402,0)
(5.36456,0.0146402,0)
(5.41259,0.0146402,0)
(5.46062,0.0146402,0)
(5.50865,0.0146402,0)
(5.55668,0.0146402,0)
(5.60471,0.0146402,0)
(5.65274,0.0146402,0)
(5.70078,0.0146402,0)
(5.74881,0.0146402,0)
(5.79683,0.0146402,0)
(5.84487,0.0146402,0)
(5.8929,0.0146402,0)
(5.94093,0.0146402,0)
(5.98896,0.0146402,0)
(6.03699,0.0146402,0)
(6.08502,0.0146402,0)
(6.13306,0.0146402,0)
(6.18109,0.0146402,0)
(6.22912,0.0146402,0)
(6.27715,0.0146402,0)
(6.32518,0.0146402,0)
(6.37321,0.0146402,0)
(6.42124,0.0146402,0)
(7.50838,0.123889,0)
(7.551,0.145981,0)
(8.66878,0.970259,0)
(8.71395,0.986445,0)
(8.76058,0.99788,0)
(8.80805,1.00504,0)
(8.85593,1.00878,0)
(8.90394,1.01009,0)
(8.95197,1.01007,0)
(9.0,1.00982,0)
(0.0,1.01099,0)
(0.0480285,1.01124,0)
(0.0960571,1.01126,0)
(0.144065,1.00995,0)
(0.19194,1.00622,0)
(0.239414,0.999056,0)
(0.286036,0.987629,0)
(0.331219,0.971456,0)
(0.374551,0.950838,0)
(0.416145,0.926897,0)
(0.456258,0.900567,0)
(0.495193,0.872514,0)
(0.533206,0.843248,0)
(0.57054,0.813119,0)
(2.00248,0.0163867,0)
(2.05051,0.0163867,0)
(2.09854,0.0163867,0)
(2.14657,0.0163867,0)
(2.1946,0.0163867,0)
(2.24262,0.0163867,0)
(2.29065,0.0163867,0)
(2.33868,0.0163867,0)
(2.38671,0.0163867,0)
(2.43474,0.0163867,0)
(2.48277,0.0163867,0)
(2.5308,0.0163867,0)
(2.57883,0.0163867,0)
(2.62686,0.0163867,0)
