(X,Y,Label)
(0.374299,0.986912,1)
(0.330912,1.01058,1)
(0.374275,0.990356,1)
(0.330884,1.0142,1)
(0.374249,0.994006,1)
(0.330853,1.01803,1)
(0.374222,0.997876,1)
(0.415893,0.974476,1)
(0.330822,1.02209,1)
(0.374194,1.00198,1)
(0.415871,0.978625,1)
(0.456105,0.952941,1)
(0.330788,1.0264,1)
(0.374163,1.00633,1)
(0.415848,0.983023,1)
(0.456092,0.957394,1)
(0.495188,0.930087,1)
(0.330752,1.03096,1)
(0.374131,1.01093,1)
(0.415824,0.987684,1)
(0.456078,0.962114,1)
(0.495187,0.93487,1)
(0.330714,1.0358,1)
(0.374097,1.01582,1)
(0.415797,0.992626,1)
(0.456063,0.967117,1)
(0.495187,0.939939,1)
(0.533418,0.911584,1)
(0.330674,1.04093,1)
(0.374061,1.021,1)
(0.41577,0.997865,1)
(0.456048,0.972421,1)
(0.495186,0.945312,1)
(0.533435,0.917031,1)
(0.330631,1.04636,1)
(0.374023,1.02649,1)
(0.41574,1.00342,1)
(0.456031,0.978043,1)
(0.495186,0.951008,1)
(0.533453,0.922804,1)
(0.571064,0.893768,1)
(0.330586,1.05212,1)
(0.373982,1.03231,1)
(0.415709,1.0093,1)
(0.456014,0.984003,1)
(0.495185,0.957047,1)
(0.533472,0.928923,1)
(0.571105,0.899972,1)
(0.330538,1.05823,1)
(0.373939,1.03848,1)
(0.415676,1.01554,1)
(0.455995,0.990321,1)
(0.495185,0.963447,1)
(0.533492,0.935411,1)
(0.571148,0.906548,1)
(0.608352,0.877136,1)
(0.330487,1.0647,1)
(0.373893,1.04502,1)
(0.415641,1.02216,1)
(0.455976,0.997017,1)
(0.495184,0.970232,1)
(0.533513,0.942287,1)
(0.571193,0.913519,1)
(0.608423,0.884204,1)
(0.330433,1.07157,1)
(0.373845,1.05195,1)
(0.415604,1.02917,1)
(0.455955,1.00412,1)
(0.495183,0.977424,1)
(0.533536,0.949576,1)
(0.571241,0.920909,1)
(0.608498,0.891695,1)
(0.645486,0.862164,1)
(0.373794,1.0593,1)
(0.415565,1.0366,1)
(0.455933,1.01164,1)
(0.495183,0.985047,1)
(0.53356,0.957303,1)
(0.571292,0.928742,1)
(0.608577,0.899636,1)
(0.645596,0.870214,1)
(0.682524,0.840687,1)
(0.373739,1.06709,1)
(0.415523,1.04448,1)
(0.455909,1.01962,1)
(0.495182,0.993129,1)
(0.533585,0.965494,1)
(0.571346,0.937045,1)
(0.608662,0.908054,1)
(0.645712,0.878748,1)
(0.682672,0.849337,1)
(0.373682,1.07534,1)
(0.415479,1.05283,1)
(0.455885,1.02807,1)
(0.495181,1.0017,1)
(0.533612,0.974176,1)
(0.571403,0.945846,1)
(0.608751,0.916977,1)
(0.645835,0.887794,1)
(0.682828,0.858506,1)
(0.719905,0.829316,1)
(0.373621,1.08409,1)
(0.415433,1.06168,1)
(0.455858,1.03703,1)
(0.49518,1.01078,1)
(0.533641,0.983379,1)
(0.571464,0.955176,1)
(0.608846,0.926436,1)
(0.645965,0.897383,1)
(0.682994,0.868226,1)
(0.720107,0.839166,1)
(0.757433,0.81036,1)
(0.415383,1.07107,1)
(0.455831,1.04654,1)
(0.49518,1.0204,1)
(0.533671,0.993135,1)
(0.571528,0.965066,1)
(0.608947,0.936463,1)
(0.646103,0.907548,1)
(0.68317,0.878529,1)
(0.72032,0.849607,1)
(0.757683,0.820939,1)
(0.795266,0.792535,1)
(0.41533,1.08101,1)
(0.455801,1.05661,1)
(0.495179,1.0306,1)
(0.533703,1.00348,1)
(0.571596,0.97555,1)
(0.609053,0.947091,1)
(0.646249,0.918323,1)
(0.683357,0.889451,1)
(0.720546,0.860675,1)
(0.757948,0.832152,1)
(0.795568,0.803892,1)
(0.833387,0.775874,1)
(0.415275,1.09156,1)
(0.45577,1.06728,1)
(0.495178,1.04142,1)
(0.533737,1.01444,1)
(0.571669,0.986663,1)
(0.609166,0.958357,1)
(0.646404,0.929744,1)
(0.683554,0.901028,1)
(0.720786,0.872408,1)
(0.758228,0.844038,1)
(0.795889,0.815931,1)
(0.833747,0.788064,1)
(0.871782,0.760414,1)
(0.455737,1.0786,1)
(0.495177,1.05289,1)
(0.533773,1.02606,1)
(0.571745,0.998442,1)
(0.609286,0.9703,1)
(0.646568,0.941851,1)
(0.683764,0.9133,1)
(0.72104,0.884844,1)
(0.758526,0.856638,1)
(0.796229,0.828693,1)
(0.834128,0.800985,1)
(0.872203,0.773495,1)
(0.910433,0.746197,1)
(0.455702,1.0906,1)
(0.495176,1.06504,1)
(0.533811,1.03838,1)
(0.571827,1.01093,1)
(0.609413,0.982959,1)
(0.646743,0.954685,1)
(0.683986,0.926309,1)
(0.72131,0.898028,1)
(0.758842,0.869995,1)
(0.796589,0.84222,1)
(0.834531,0.814683,1)
(0.872649,0.787361,1)
(0.910921,0.76023,1)
(0.949324,0.733265,1)
(2.54186,0.285107,1)
(2.58961,0.285107,1)
(2.63737,0.285107,1)
(2.68513,0.285107,1)
(2.73289,0.285107,1)
(2.78065,0.285107,1)
(0.495174,1.07792,1)
